                                   | Core 0    
  Instructions                     |   99999882
  Cycles                           |  194820678
  IPC                              |       0.51
  Time (ns)                        |   64940226
Branch predictor stats             |           
  num correct                      |     586923
  num incorrect                    |       5938
  misprediction rate               |      1.00%
  mpki                             |       0.06
TLB Summary                        |           
  I-TLB                            |           
    num accesses                   |    8642534
    num misses                     |         18
    miss rate                      |      0.00%
    mpki                           |       0.00
  D-TLB                            |           
    num accesses                   |   52081000
    num misses                     |    1063604
    miss rate                      |      2.04%
    mpki                           |      10.64
  L2 TLB                           |           
    num accesses                   |    1063622
    num misses                     |     655804
    miss rate                      |     61.66%
    mpki                           |       6.56
Cache Summary                      |           
  Cache L1-I                       |           
    num cache accesses             |    8642534
    num cache misses               |      97059
    miss rate                      |      1.12%
    mpki                           |       0.97
  Cache L1-D                       |           
    num cache accesses             |   52081000
    num cache misses               |    3960934
    miss rate                      |      7.61%
    mpki                           |      39.61
  Cache L2                         |           
    num cache accesses             |    4352732
    num cache misses               |    3418079
    miss rate                      |     78.53%
    mpki                           |      34.18
  Cache L3                         |           
    num cache accesses             |    3712818
    num cache misses               |    3398238
    miss rate                      |     91.53%
    mpki                           |      33.98
DRAM summary                       |           
  num dram accesses                |    6780092
  average dram access latency (ns) |      51.72
  average dram queueing delay      |       1.71
Coherency Traffic                  |           
  num loads from dram              |    3157161
  num loads from dram cache        |          0
  num loads from remote cache      |          0
