                                   | Core 0    
  Instructions                     |   99999948
  Cycles                           |  485148539
  IPC                              |       0.21
  Time (ns)                        |  161716180
Branch predictor stats             |           
  num correct                      |     129398
  num incorrect                    |       2196
  misprediction rate               |      1.67%
  mpki                             |       0.02
TLB Summary                        |           
  I-TLB                            |           
    num accesses                   |   11457119
    num misses                     |          6
    miss rate                      |      0.00%
    mpki                           |       0.00
  D-TLB                            |           
    num accesses                   |   74796250
    num misses                     |    2951122
    miss rate                      |      3.95%
    mpki                           |      29.51
  L2 TLB                           |           
    num accesses                   |    2951128
    num misses                     |    1860796
    miss rate                      |     63.05%
    mpki                           |      18.61
Cache Summary                      |           
  Cache L1-I                       |           
    num cache accesses             |   11457119
    num cache misses               |    2189472
    miss rate                      |     19.11%
    mpki                           |      21.89
  Cache L1-D                       |           
    num cache accesses             |   74796250
    num cache misses               |    3436291
    miss rate                      |      4.59%
    mpki                           |      34.36
  Cache L2                         |           
    num cache accesses             |    6783963
    num cache misses               |    5458534
    miss rate                      |     80.46%
    mpki                           |      54.59
  Cache L3                         |           
    num cache accesses             |    6616734
    num cache misses               |    5441306
    miss rate                      |     82.24%
    mpki                           |      54.41
DRAM summary                       |           
  num dram accesses                |   10866228
  average dram access latency (ns) |      51.64
  average dram queueing delay      |       1.63
Coherency Traffic                  |           
  num loads from dram              |    2586431
  num loads from dram cache        |          0
  num loads from remote cache      |          0
