                                   | Core 0    
  Instructions                     |   99999931
  Cycles                           |  102047081
  IPC                              |       0.98
  Time (ns)                        |   34015694
Branch predictor stats             |           
  num correct                      |    1021249
  num incorrect                    |     248524
  misprediction rate               |     19.57%
  mpki                             |       2.49
TLB Summary                        |           
  I-TLB                            |           
    num accesses                   |    9191444
    num misses                     |         49
    miss rate                      |      0.00%
    mpki                           |       0.00
  D-TLB                            |           
    num accesses                   |   51375935
    num misses                     |      62546
    miss rate                      |      0.12%
    mpki                           |       0.63
  L2 TLB                           |           
    num accesses                   |      62595
    num misses                     |       1647
    miss rate                      |      2.63%
    mpki                           |       0.02
Cache Summary                      |           
  Cache L1-I                       |           
    num cache accesses             |    9191444
    num cache misses               |      19250
    miss rate                      |      0.21%
    mpki                           |       0.19
  Cache L1-D                       |           
    num cache accesses             |   51375935
    num cache misses               |     709935
    miss rate                      |      1.38%
    mpki                           |       7.10
  Cache L2                         |           
    num cache accesses             |     759962
    num cache misses               |     312304
    miss rate                      |     41.09%
    mpki                           |       3.12
  Cache L3                         |           
    num cache accesses             |     343181
    num cache misses               |     269118
    miss rate                      |     78.42%
    mpki                           |       2.69
DRAM summary                       |           
  num dram accesses                |     521852
  average dram access latency (ns) |      51.19
  average dram queueing delay      |       1.19
Coherency Traffic                  |           
  num loads from dram              |     194599
  num loads from dram cache        |          0
  num loads from remote cache      |          0
