                                   | Core 0    
  Instructions                     |   99999966
  Cycles                           |   80585810
  IPC                              |       1.24
  Time (ns)                        |   26861937
Branch predictor stats             |           
  num correct                      |    5412374
  num incorrect                    |     989322
  misprediction rate               |     15.45%
  mpki                             |       9.89
TLB Summary                        |           
  I-TLB                            |           
    num accesses                   |   11164647
    num misses                     |         56
    miss rate                      |      0.00%
    mpki                           |       0.00
  D-TLB                            |           
    num accesses                   |   47753615
    num misses                     |      51059
    miss rate                      |      0.11%
    mpki                           |       0.51
  L2 TLB                           |           
    num accesses                   |      51115
    num misses                     |       6541
    miss rate                      |     12.80%
    mpki                           |       0.07
Cache Summary                      |           
  Cache L1-I                       |           
    num cache accesses             |   11164647
    num cache misses               |      44356
    miss rate                      |      0.40%
    mpki                           |       0.44
  Cache L1-D                       |           
    num cache accesses             |   47753615
    num cache misses               |     402796
    miss rate                      |      0.84%
    mpki                           |       4.03
  Cache L2                         |           
    num cache accesses             |     452823
    num cache misses               |     352917
    miss rate                      |     77.94%
    mpki                           |       3.53
  Cache L3                         |           
    num cache accesses             |     358730
    num cache misses               |     291761
    miss rate                      |     81.33%
    mpki                           |       2.92
DRAM summary                       |           
  num dram accesses                |     567138
  average dram access latency (ns) |      50.73
  average dram queueing delay      |       0.72
Coherency Traffic                  |           
  num loads from dram              |     186220
  num loads from dram cache        |          0
  num loads from remote cache      |          0
