                                   | Core 0    
  Instructions                     |   99999956
  Cycles                           |  345450626
  IPC                              |       0.29
  Time (ns)                        |  115150209
Branch predictor stats             |           
  num correct                      |   13692472
  num incorrect                    |    1887219
  misprediction rate               |     12.11%
  mpki                             |      18.87
TLB Summary                        |           
  I-TLB                            |           
    num accesses                   |   17506689
    num misses                     |         59
    miss rate                      |      0.00%
    mpki                           |       0.00
  D-TLB                            |           
    num accesses                   |   46702529
    num misses                     |    1792760
    miss rate                      |      3.84%
    mpki                           |      17.93
  L2 TLB                           |           
    num accesses                   |    1792819
    num misses                     |     543645
    miss rate                      |     30.32%
    mpki                           |       5.44
Cache Summary                      |           
  Cache L1-I                       |           
    num cache accesses             |   17506689
    num cache misses               |     583505
    miss rate                      |      3.33%
    mpki                           |       5.84
  Cache L1-D                       |           
    num cache accesses             |   46702529
    num cache misses               |    3143684
    miss rate                      |      6.73%
    mpki                           |      31.44
  Cache L2                         |           
    num cache accesses             |    4576126
    num cache misses               |    3421481
    miss rate                      |     74.77%
    mpki                           |      34.21
  Cache L3                         |           
    num cache accesses             |    4271049
    num cache misses               |    3318426
    miss rate                      |     77.70%
    mpki                           |      33.18
DRAM summary                       |           
  num dram accesses                |    6620468
  average dram access latency (ns) |      51.11
  average dram queueing delay      |       1.10
Coherency Traffic                  |           
  num loads from dram              |    2493069
  num loads from dram cache        |          0
  num loads from remote cache      |          0
