                                   | Core 0    
  Instructions                     |   99999880
  Cycles                           |  147682682
  IPC                              |       0.68
  Time (ns)                        |   49227561
Branch predictor stats             |           
  num correct                      |    7976092
  num incorrect                    |     656868
  misprediction rate               |      7.61%
  mpki                             |       6.57
TLB Summary                        |           
  I-TLB                            |           
    num accesses                   |    8296535
    num misses                     |         42
    miss rate                      |      0.00%
    mpki                           |       0.00
  D-TLB                            |           
    num accesses                   |   27674764
    num misses                     |     135548
    miss rate                      |      0.49%
    mpki                           |       1.36
  L2 TLB                           |           
    num accesses                   |     135590
    num misses                     |      42575
    miss rate                      |     31.40%
    mpki                           |       0.43
Cache Summary                      |           
  Cache L1-I                       |           
    num cache accesses             |    8296535
    num cache misses               |      46332
    miss rate                      |      0.56%
    mpki                           |       0.46
  Cache L1-D                       |           
    num cache accesses             |   27674764
    num cache misses               |    1670802
    miss rate                      |      6.04%
    mpki                           |      16.71
  Cache L2                         |           
    num cache accesses             |    1737718
    num cache misses               |    1567890
    miss rate                      |     90.23%
    mpki                           |      15.68
  Cache L3                         |           
    num cache accesses             |    1589043
    num cache misses               |    1439818
    miss rate                      |     90.61%
    mpki                           |      14.40
DRAM summary                       |           
  num dram accesses                |    2863252
  average dram access latency (ns) |      51.54
  average dram queueing delay      |       1.53
Coherency Traffic                  |           
  num loads from dram              |    1314446
  num loads from dram cache        |          0
  num loads from remote cache      |          0
