                                   | Core 0    
  Instructions                     |   99999981
  Cycles                           |  392786389
  IPC                              |       0.25
  Time (ns)                        |  130928796
Branch predictor stats             |           
  num correct                      |   23433647
  num incorrect                    |    2590854
  misprediction rate               |      9.96%
  mpki                             |      25.91
TLB Summary                        |           
  I-TLB                            |           
    num accesses                   |    8435880
    num misses                     |       7367
    miss rate                      |      0.09%
    mpki                           |       0.07
  D-TLB                            |           
    num accesses                   |   34662789
    num misses                     |     538303
    miss rate                      |      1.55%
    mpki                           |       5.38
  L2 TLB                           |           
    num accesses                   |     545670
    num misses                     |     457791
    miss rate                      |     83.90%
    mpki                           |       4.58
Cache Summary                      |           
  Cache L1-I                       |           
    num cache accesses             |    8435880
    num cache misses               |     255407
    miss rate                      |      3.03%
    mpki                           |       2.55
  Cache L1-D                       |           
    num cache accesses             |   34662789
    num cache misses               |    3096533
    miss rate                      |      8.93%
    mpki                           |      30.97
  Cache L2                         |           
    num cache accesses             |    3390624
    num cache misses               |    3326247
    miss rate                      |     98.10%
    mpki                           |      33.26
  Cache L3                         |           
    num cache accesses             |    3365061
    num cache misses               |    3246040
    miss rate                      |     96.46%
    mpki                           |      32.46
DRAM summary                       |           
  num dram accesses                |    6475696
  average dram access latency (ns) |      51.11
  average dram queueing delay      |       1.10
Coherency Traffic                  |           
  num loads from dram              |    2968831
  num loads from dram cache        |          0
  num loads from remote cache      |          0
