                                   | Core 0    
  Instructions                     |   99999892
  Cycles                           |  141870284
  IPC                              |       0.70
  Time (ns)                        |   47290095
Branch predictor stats             |           
  num correct                      |    5563643
  num incorrect                    |     913021
  misprediction rate               |     14.10%
  mpki                             |       9.13
TLB Summary                        |           
  I-TLB                            |           
    num accesses                   |    9896916
    num misses                     |          5
    miss rate                      |      0.00%
    mpki                           |       0.00
  D-TLB                            |           
    num accesses                   |   29723321
    num misses                     |     202086
    miss rate                      |      0.68%
    mpki                           |       2.02
  L2 TLB                           |           
    num accesses                   |     202091
    num misses                     |       5394
    miss rate                      |      2.67%
    mpki                           |       0.05
Cache Summary                      |           
  Cache L1-I                       |           
    num cache accesses             |    9896916
    num cache misses               |     274189
    miss rate                      |      2.77%
    mpki                           |       2.74
  Cache L1-D                       |           
    num cache accesses             |   29723321
    num cache misses               |    1588379
    miss rate                      |      5.34%
    mpki                           |      15.88
  Cache L2                         |           
    num cache accesses             |    2002678
    num cache misses               |    1401182
    miss rate                      |     69.97%
    mpki                           |      14.01
  Cache L3                         |           
    num cache accesses             |    1542964
    num cache misses               |    1359637
    miss rate                      |     88.12%
    mpki                           |      13.60
DRAM summary                       |           
  num dram accesses                |    2702890
  average dram access latency (ns) |      51.96
  average dram queueing delay      |       1.96
Coherency Traffic                  |           
  num loads from dram              |     866980
  num loads from dram cache        |          0
  num loads from remote cache      |          0
