                                     | Core 0    
  Instructions                       |  249999984
  Cycles                             |  550210327
  IPC                                |       0.45
  Time (ns)                          |  183403443
Branch predictor stats               |           
  num correct                        |   15199251
  num incorrect                      |    9146162
  misprediction rate                 |     37.57%
  mpki                               |      36.58
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |   29844534
    num misses                       |         10
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |  114926447
    num misses                       |     791193
    miss rate                        |      0.69%
    mpki                             |       3.16
  L2 TLB                             |           
    num accesses                     |     791203
    num misses                       |     629348
    miss rate                        |     79.54%
    mpki                             |       2.52
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |   29844534
    num cache misses                 |      16962
    miss rate                        |      0.06%
    mpki                             |       0.07
  Cache L1-D                         |           
    num cache accesses               |  114926447
    num cache misses                 |    1797823
    miss rate                        |      1.56%
    mpki                             |       7.19
  Cache L2                           |           
    num cache accesses               |    2160426
    num cache misses                 |    1680256
    miss rate                        |     77.77%
    mpki                             |       6.72
  Cache L3                           |           
    num cache accesses               |    2055279
    num cache misses                 |    1443240
    miss rate                        |     70.22%
    mpki                             |       5.77
DRAM summary                         |           
  num dram accesses                  |    1995261
  average dram access latency (ns)   |     111.17
  average dram queueing delay        |      26.13
  average dram bandwidth utilization |     43.00%
Coherency Traffic                    |           
  num loads from dram                |          0
  num loads from dram cache          |          0
  num loads from remote cache        |          0
