                                     | Core 0    
  Instructions                       |  249999910
  Cycles                             |  250910467
  IPC                                |       1.00
  Time (ns)                          |   83636822
Branch predictor stats               |           
  num correct                        |    8515508
  num incorrect                      |    3973583
  misprediction rate                 |     31.82%
  mpki                               |      15.89
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |   19582128
    num misses                       |          3
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |  107816594
    num misses                       |     110312
    miss rate                        |      0.10%
    mpki                             |       0.44
  L2 TLB                             |           
    num accesses                     |     110315
    num misses                       |      76686
    miss rate                        |     69.52%
    mpki                             |       0.31
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |   19582128
    num cache misses                 |      27889
    miss rate                        |      0.14%
    mpki                             |       0.11
  Cache L1-D                         |           
    num cache accesses               |  107816594
    num cache misses                 |    5528735
    miss rate                        |      5.13%
    mpki                             |      22.11
  Cache L2                           |           
    num cache accesses               |    5954044
    num cache misses                 |    4965867
    miss rate                        |     83.40%
    mpki                             |      19.86
  Cache L3                           |           
    num cache accesses               |    5363287
    num cache misses                 |    4907600
    miss rate                        |     91.50%
    mpki                             |      19.63
DRAM summary                         |           
  num dram accesses                  |    5381695
  average dram access latency (ns)   |      51.29
  average dram queueing delay        |       1.28
  average dram bandwidth utilization |     32.00%
Coherency Traffic                    |           
  num loads from dram                |          0
  num loads from dram cache          |          0
  num loads from remote cache        |          0
