                                     | Core 0    
  Instructions                       |  249999911
  Cycles                             |  148825182
  IPC                                |       1.68
  Time (ns)                          |   49608394
Branch predictor stats               |           
  num correct                        |   11041984
  num incorrect                      |     626821
  misprediction rate                 |      5.37%
  mpki                               |       2.51
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |   23805043
    num misses                       |          8
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |   75993196
    num misses                       |      24539
    miss rate                        |      0.03%
    mpki                             |       0.10
  L2 TLB                             |           
    num accesses                     |      24547
    num misses                       |        818
    miss rate                        |      3.33%
    mpki                             |       0.00
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |   23805043
    num cache misses                 |       3254
    miss rate                        |      0.01%
    mpki                             |       0.01
  Cache L1-D                         |           
    num cache accesses               |   75993196
    num cache misses                 |    2008135
    miss rate                        |      2.64%
    mpki                             |       8.03
  Cache L2                           |           
    num cache accesses               |    2017335
    num cache misses                 |      52440
    miss rate                        |      2.60%
    mpki                             |       0.21
  Cache L3                           |           
    num cache accesses               |      58400
    num cache misses                 |      27459
    miss rate                        |     47.02%
    mpki                             |       0.11
DRAM summary                         |           
  num dram accesses                  |      31775
  average dram access latency (ns)   |      55.59
  average dram queueing delay        |       0.58
  average dram bandwidth utilization |      0.00%
Coherency Traffic                    |           
  num loads from dram                |          0
  num loads from dram cache          |          0
  num loads from remote cache        |          0
