                                     | Core 0    
  Instructions                       |  249999888
  Cycles                             |  436469342
  IPC                                |       0.57
  Time (ns)                          |  145489781
Branch predictor stats               |           
  num correct                        |   19818647
  num incorrect                      |    1620730
  misprediction rate                 |      7.56%
  mpki                               |       6.48
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |   20925725
    num misses                       |         42
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |   68803935
    num misses                       |     336442
    miss rate                        |      0.49%
    mpki                             |       1.35
  L2 TLB                             |           
    num accesses                     |     336484
    num misses                       |     104712
    miss rate                        |     31.12%
    mpki                             |       0.42
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |   20925725
    num cache misses                 |      39875
    miss rate                        |      0.19%
    mpki                             |       0.16
  Cache L1-D                         |           
    num cache accesses               |   68803935
    num cache misses                 |    3684911
    miss rate                        |      5.36%
    mpki                             |      14.74
  Cache L2                           |           
    num cache accesses               |    3756949
    num cache misses                 |    3453269
    miss rate                        |     91.92%
    mpki                             |      13.81
  Cache L3                           |           
    num cache accesses               |    3485510
    num cache misses                 |    3026521
    miss rate                        |     86.83%
    mpki                             |      12.11
DRAM summary                         |           
  num dram accesses                  |    3279734
  average dram access latency (ns)   |      78.05
  average dram queueing delay        |      13.03
  average dram bandwidth utilization |     45.00%
Coherency Traffic                    |           
  num loads from dram                |          0
  num loads from dram cache          |          0
  num loads from remote cache        |          0
