                                     | Core 0    
  Instructions                       |  249999868
  Cycles                             |  385347372
  IPC                                |       0.65
  Time (ns)                          |  128449124
Branch predictor stats               |           
  num correct                        |   15498693
  num incorrect                      |     530274
  misprediction rate                 |      3.31%
  mpki                               |       2.12
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |   23732269
    num misses                       |         22
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |   82805000
    num misses                       |     659880
    miss rate                        |      0.80%
    mpki                             |       2.64
  L2 TLB                             |           
    num accesses                     |     659902
    num misses                       |      65454
    miss rate                        |      9.92%
    mpki                             |       0.26
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |   23732269
    num cache misses                 |     151105
    miss rate                        |      0.64%
    mpki                             |       0.60
  Cache L1-D                         |           
    num cache accesses               |   82805000
    num cache misses                 |    4729145
    miss rate                        |      5.71%
    mpki                             |      18.92
  Cache L2                           |           
    num cache accesses               |    5220055
    num cache misses                 |    2292017
    miss rate                        |     43.91%
    mpki                             |       9.17
  Cache L3                           |           
    num cache accesses               |    2632019
    num cache misses                 |    1188342
    miss rate                        |     45.15%
    mpki                             |       4.75
DRAM summary                         |           
  num dram accesses                  |    1712830
  average dram access latency (ns)   |     136.10
  average dram queueing delay        |      51.06
  average dram bandwidth utilization |     53.00%
Coherency Traffic                    |           
  num loads from dram                |          0
  num loads from dram cache          |          0
  num loads from remote cache        |          0
