                                   | Core 0     
  Instructions                     |   499999889
  Cycles                           |  1018506858
  IPC                              |        0.49
  Time (ns)                        |   339502286
Branch predictor stats             |            
  num correct                      |    83250889
  num incorrect                    |    13736240
  misprediction rate               |      14.16%
  mpki                             |       27.47
TLB Summary                        |            
  I-TLB                            |            
    num accesses                   |    89368369
    num misses                     |         993
    miss rate                      |       0.00%
    mpki                           |        0.00
  D-TLB                            |            
    num accesses                   |   164900276
    num misses                     |      759767
    miss rate                      |       0.46%
    mpki                           |        1.52
  L2 TLB                           |            
    num accesses                   |      760760
    num misses                     |      201674
    miss rate                      |      26.51%
    mpki                           |        0.40
Cache Summary                      |            
  Cache L1-I                       |            
    num cache accesses             |    89368369
    num cache misses               |     1145949
    miss rate                      |       1.28%
    mpki                           |        2.29
  Cache L1-D                       |            
    num cache accesses             |   164900276
    num cache misses               |     4827686
    miss rate                      |       2.93%
    mpki                           |        9.66
  Cache L2                         |            
    num cache accesses             |     6808580
    num cache misses               |     3917275
    miss rate                      |      57.53%
    mpki                           |        7.83
  Cache L3                         |            
    num cache accesses             |     4754182
    num cache misses               |     3680918
    miss rate                      |      77.42%
    mpki                           |        7.36
DRAM summary                       |            
  num dram accesses                |     4922306
  average dram access latency (ns) |      105.24
  average dram queueing delay      |       20.20
Coherency Traffic                  |            
  num loads from dram              |           0
  num loads from dram cache        |           0
  num loads from remote cache      |           0
