                                   | Core 0    
  Instructions                     |  499999916
  Cycles                           |  438057524
  IPC                              |       1.14
  Time (ns)                        |  146019175
Branch predictor stats             |           
  num correct                      |    8844123
  num incorrect                    |    1389904
  misprediction rate               |     13.58%
  mpki                             |       2.78
TLB Summary                        |           
  I-TLB                            |           
    num accesses                   |   47373602
    num misses                     |         62
    miss rate                      |      0.00%
    mpki                           |       0.00
  D-TLB                            |           
    num accesses                   |  253196028
    num misses                     |     555358
    miss rate                      |      0.22%
    mpki                           |       1.11
  L2 TLB                           |           
    num accesses                   |     555420
    num misses                     |       7401
    miss rate                      |      1.33%
    mpki                           |       0.01
Cache Summary                      |           
  Cache L1-I                       |           
    num cache accesses             |   47373602
    num cache misses               |      84201
    miss rate                      |      0.18%
    mpki                           |       0.17
  Cache L1-D                       |           
    num cache accesses             |  253196028
    num cache misses               |    3787155
    miss rate                      |      1.50%
    mpki                           |       7.57
  Cache L2                         |           
    num cache accesses             |    3915323
    num cache misses               |    2054800
    miss rate                      |     52.48%
    mpki                           |       4.11
  Cache L3                         |           
    num cache accesses             |    2098783
    num cache misses               |     358973
    miss rate                      |     17.10%
    mpki                           |       0.72
DRAM summary                       |           
  num dram accesses                |     481227
  average dram access latency (ns) |      50.51
  average dram queueing delay      |       0.51
Coherency Traffic                  |           
  num loads from dram              |          0
  num loads from dram cache        |          0
  num loads from remote cache      |          0
