                                   | Core 0    
  Instructions                     |   99999886
  Cycles                           |   66075786
  IPC                              |       1.51
  Time (ns)                        |   22025262
Branch predictor stats             |           
  num correct                      |    5251304
  num incorrect                    |     927634
  misprediction rate               |     15.01%
  mpki                             |       9.28
TLB Summary                        |           
  I-TLB                            |           
    num accesses                   |   11061074
    num misses                     |         56
    miss rate                      |      0.00%
    mpki                           |       0.00
  D-TLB                            |           
    num accesses                   |   47995299
    num misses                     |      48669
    miss rate                      |      0.10%
    mpki                           |       0.49
  L2 TLB                           |           
    num accesses                   |      48725
    num misses                     |       5761
    miss rate                      |     11.82%
    mpki                           |       0.06
Cache Summary                      |           
  Cache L1-I                       |           
    num cache accesses             |   11061074
    num cache misses               |      30673
    miss rate                      |      0.28%
    mpki                           |       0.31
  Cache L1-D                       |           
    num cache accesses             |   47995299
    num cache misses               |     282417
    miss rate                      |      0.59%
    mpki                           |       2.82
  Cache L2                         |           
    num cache accesses             |     313402
    num cache misses               |     226726
    miss rate                      |     72.34%
    mpki                           |       2.27
  Cache L3                         |           
    num cache accesses             |     227093
    num cache misses               |     132680
    miss rate                      |     58.43%
    mpki                           |       1.33
DRAM summary                       |           
  num dram accesses                |     193388
  average dram access latency (ns) |      67.85
  average dram queueing delay      |       2.83
Coherency Traffic                  |           
  num loads from dram              |          0
  num loads from dram cache        |          0
  num loads from remote cache      |          0
