                                   | Core 0    
  Instructions                     |   99999914
  Cycles                           |   51778156
  IPC                              |       1.93
  Time (ns)                        |   17259385
Branch predictor stats             |           
  num correct                      |    4605063
  num incorrect                    |      38465
  misprediction rate               |      0.83%
  mpki                             |       0.38
TLB Summary                        |           
  I-TLB                            |           
    num accesses                   |    7649541
    num misses                     |         43
    miss rate                      |      0.00%
    mpki                           |       0.00
  D-TLB                            |           
    num accesses                   |   57543555
    num misses                     |       7878
    miss rate                      |      0.01%
    mpki                           |       0.08
  L2 TLB                           |           
    num accesses                   |       7921
    num misses                     |       1399
    miss rate                      |     17.66%
    mpki                           |       0.01
Cache Summary                      |           
  Cache L1-I                       |           
    num cache accesses             |    7649541
    num cache misses               |       7018
    miss rate                      |      0.09%
    mpki                           |       0.07
  Cache L1-D                       |           
    num cache accesses             |   57543555
    num cache misses               |     548446
    miss rate                      |      0.95%
    mpki                           |       5.48
  Cache L2                         |           
    num cache accesses             |     556582
    num cache misses               |     382202
    miss rate                      |     68.67%
    mpki                           |       3.82
  Cache L3                         |           
    num cache accesses             |     383395
    num cache misses               |     269413
    miss rate                      |     70.27%
    mpki                           |       2.69
DRAM summary                       |           
  num dram accesses                |     515627
  average dram access latency (ns) |      50.67
  average dram queueing delay      |       0.67
Coherency Traffic                  |           
  num loads from dram              |          0
  num loads from dram cache        |          0
  num loads from remote cache      |          0
