                                   | Core 0    
  Instructions                     |  499999905
  Cycles                           |  468703438
  IPC                              |       1.07
  Time (ns)                        |  156234479
Branch predictor stats             |           
  num correct                      |   13748171
  num incorrect                    |     237589
  misprediction rate               |      1.70%
  mpki                             |       0.48
TLB Summary                        |           
  I-TLB                            |           
    num accesses                   |   49006107
    num misses                     |         15
    miss rate                      |      0.00%
    mpki                           |       0.00
  D-TLB                            |           
    num accesses                   |  211163136
    num misses                     |     263034
    miss rate                      |      0.12%
    mpki                           |       0.53
  L2 TLB                           |           
    num accesses                   |     263049
    num misses                     |      62497
    miss rate                      |     23.76%
    mpki                           |       0.12
Cache Summary                      |           
  Cache L1-I                       |           
    num cache accesses             |   49006107
    num cache misses               |      77296
    miss rate                      |      0.16%
    mpki                           |       0.15
  Cache L1-D                       |           
    num cache accesses             |  211163136
    num cache misses               |    6670819
    miss rate                      |      3.16%
    mpki                           |      13.34
  Cache L2                         |           
    num cache accesses             |    7109406
    num cache misses               |    4921749
    miss rate                      |     69.23%
    mpki                           |       9.84
  Cache L3                         |           
    num cache accesses             |    5303473
    num cache misses               |    4554412
    miss rate                      |     85.88%
    mpki                           |       9.11
DRAM summary                       |           
  num dram accesses                |    5938544
  average dram access latency (ns) |      57.45
  average dram queueing delay      |       2.44
Coherency Traffic                  |           
  num loads from dram              |          0
  num loads from dram cache        |          0
  num loads from remote cache      |          0
