                                   | Core 0     
  Instructions                     |   249999989
  Cycles                           |  2826309848
  IPC                              |        0.09
  Time (ns)                        |   942103283
Branch predictor stats             |            
  num correct                      |    43244780
  num incorrect                    |    11689069
  misprediction rate               |      21.28%
  mpki                             |       46.76
TLB Summary                        |            
  I-TLB                            |            
    num accesses                   |    23761816
    num misses                     |           3
    miss rate                      |       0.00%
    mpki                           |        0.00
  D-TLB                            |            
    num accesses                   |    88558906
    num misses                     |    21160215
    miss rate                      |      23.89%
    mpki                           |       84.64
  L2 TLB                           |            
    num accesses                   |    21160218
    num misses                     |    10897925
    miss rate                      |      51.50%
    mpki                           |       43.59
Cache Summary                      |            
  Cache L1-I                       |            
    num cache accesses             |    23761816
    num cache misses               |      184706
    miss rate                      |       0.78%
    mpki                           |        0.74
  Cache L1-D                       |            
    num cache accesses             |    88558906
    num cache misses               |    28688051
    miss rate                      |      32.39%
    mpki                           |      114.75
  Cache L2                         |            
    num cache accesses             |    32509681
    num cache misses               |    24263914
    miss rate                      |      74.64%
    mpki                           |       97.06
  Cache L3                         |            
    num cache accesses             |    27929606
    num cache misses               |    16395156
    miss rate                      |      58.70%
    mpki                           |       65.58
DRAM summary                       |            
  num dram accesses                |    20370908
  average dram access latency (ns) |      101.06
  average dram queueing delay      |       16.02
Coherency Traffic                  |            
  num loads from dram              |           0
  num loads from dram cache        |           0
  num loads from remote cache      |           0
