                                   | Core 0    
  Instructions                     |  499999900
  Cycles                           |  721780290
  IPC                              |       0.69
  Time (ns)                        |  240593430
Branch predictor stats             |           
  num correct                      |    7001795
  num incorrect                    |   10178715
  misprediction rate               |     59.25%
  mpki                             |      20.36
TLB Summary                        |           
  I-TLB                            |           
    num accesses                   |   49702462
    num misses                     |         15
    miss rate                      |      0.00%
    mpki                           |       0.00
  D-TLB                            |           
    num accesses                   |  168526200
    num misses                     |     801860
    miss rate                      |      0.48%
    mpki                           |       1.60
  L2 TLB                           |           
    num accesses                   |     801875
    num misses                     |     783468
    miss rate                      |     97.70%
    mpki                           |       1.57
Cache Summary                      |           
  Cache L1-I                       |           
    num cache accesses             |   49702462
    num cache misses               |      33098
    miss rate                      |      0.07%
    mpki                           |       0.07
  Cache L1-D                       |           
    num cache accesses             |  168526200
    num cache misses               |    9179473
    miss rate                      |      5.45%
    mpki                           |      18.36
  Cache L2                         |           
    num cache accesses             |   11124013
    num cache misses               |    9059072
    miss rate                      |     81.44%
    mpki                           |      18.12
  Cache L3                         |           
    num cache accesses             |   10970515
    num cache misses               |    8981219
    miss rate                      |     81.87%
    mpki                           |      17.96
DRAM summary                       |           
  num dram accesses                |   12749510
  average dram access latency (ns) |      56.11
  average dram queueing delay      |       1.10
Coherency Traffic                  |           
  num loads from dram              |          0
  num loads from dram cache        |          0
  num loads from remote cache      |          0
