                                   | Core 0    
  Instructions                     |  499999882
  Cycles                           |  313557794
  IPC                              |       1.59
  Time (ns)                        |  104519265
Branch predictor stats             |           
  num correct                      |   42276330
  num incorrect                    |    6969949
  misprediction rate               |     14.15%
  mpki                             |      13.94
TLB Summary                        |           
  I-TLB                            |           
    num accesses                   |   61159538
    num misses                     |        174
    miss rate                      |      0.00%
    mpki                           |       0.00
  D-TLB                            |           
    num accesses                   |  190148716
    num misses                     |     463202
    miss rate                      |      0.24%
    mpki                           |       0.93
  L2 TLB                           |           
    num accesses                   |     463376
    num misses                     |       4911
    miss rate                      |      1.06%
    mpki                           |       0.01
Cache Summary                      |           
  Cache L1-I                       |           
    num cache accesses             |   61159538
    num cache misses               |     560744
    miss rate                      |      0.92%
    mpki                           |       1.12
  Cache L1-D                       |           
    num cache accesses             |  190148716
    num cache misses               |    3045079
    miss rate                      |      1.60%
    mpki                           |       6.09
  Cache L2                         |           
    num cache accesses             |    3639366
    num cache misses               |    1864711
    miss rate                      |     51.24%
    mpki                           |       3.73
  Cache L3                         |           
    num cache accesses             |    1898310
    num cache misses               |     406075
    miss rate                      |     21.39%
    mpki                           |       0.81
DRAM summary                       |           
  num dram accesses                |     684545
  average dram access latency (ns) |      58.48
  average dram queueing delay      |       3.47
Coherency Traffic                  |           
  num loads from dram              |          0
  num loads from dram cache        |          0
  num loads from remote cache      |          0
