                                   | Core 0    
  Instructions                     |  249999912
  Cycles                           |  204035145
  IPC                              |       1.23
  Time (ns)                        |   68011715
Branch predictor stats             |           
  num correct                      |   13325983
  num incorrect                    |     311809
  misprediction rate               |      2.29%
  mpki                             |       1.25
TLB Summary                        |           
  I-TLB                            |           
    num accesses                   |   24892730
    num misses                     |         47
    miss rate                      |      0.00%
    mpki                           |       0.00
  D-TLB                            |           
    num accesses                   |   86640596
    num misses                     |     132060
    miss rate                      |      0.15%
    mpki                           |       0.53
  L2 TLB                           |           
    num accesses                   |     132107
    num misses                     |      40804
    miss rate                      |     30.89%
    mpki                           |       0.16
Cache Summary                      |           
  Cache L1-I                       |           
    num cache accesses             |   24892730
    num cache misses               |      22760
    miss rate                      |      0.09%
    mpki                           |       0.09
  Cache L1-D                       |           
    num cache accesses             |   86640596
    num cache misses               |    3028209
    miss rate                      |      3.50%
    mpki                           |      12.11
  Cache L2                         |           
    num cache accesses             |    3386172
    num cache misses               |    2433976
    miss rate                      |     71.88%
    mpki                           |       9.74
  Cache L3                         |           
    num cache accesses             |    2777453
    num cache misses               |    1937884
    miss rate                      |     69.77%
    mpki                           |       7.75
DRAM summary                       |           
  num dram accesses                |    2669423
  average dram access latency (ns) |      50.89
  average dram queueing delay      |       0.88
Coherency Traffic                  |           
  num loads from dram              |          0
  num loads from dram cache        |          0
  num loads from remote cache      |          0
