                                   | Core 0    
  Instructions                     |   99999959
  Cycles                           |   83081576
  IPC                              |       1.20
  Time (ns)                        |   27693859
Branch predictor stats             |           
  num correct                      |    5563644
  num incorrect                    |     913023
  misprediction rate               |     14.10%
  mpki                             |       9.13
TLB Summary                        |           
  I-TLB                            |           
    num accesses                   |    9896916
    num misses                     |          5
    miss rate                      |      0.00%
    mpki                           |       0.00
  D-TLB                            |           
    num accesses                   |   29723328
    num misses                     |     205061
    miss rate                      |      0.69%
    mpki                           |       2.05
  L2 TLB                           |           
    num accesses                   |     205066
    num misses                     |       5378
    miss rate                      |      2.62%
    mpki                           |       0.05
Cache Summary                      |           
  Cache L1-I                       |           
    num cache accesses             |    9896916
    num cache misses               |       7986
    miss rate                      |      0.08%
    mpki                           |       0.08
  Cache L1-D                       |           
    num cache accesses             |   29723328
    num cache misses               |    1219537
    miss rate                      |      4.10%
    mpki                           |      12.20
  Cache L2                         |           
    num cache accesses             |    1248723
    num cache misses               |     507577
    miss rate                      |     40.65%
    mpki                           |       5.08
  Cache L3                         |           
    num cache accesses             |     529389
    num cache misses               |     491517
    miss rate                      |     92.85%
    mpki                           |       4.92
DRAM summary                       |           
  num dram accesses                |     607161
  average dram access latency (ns) |      57.13
  average dram queueing delay      |       2.12
Coherency Traffic                  |           
  num loads from dram              |     394346
  num loads from dram cache        |          0
  num loads from remote cache      |          0
