                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |  465030189 |  431012877 |  249999883 |  350070219
  Cycles                             |  238447591 |  238447533 |  238445982 |  238447553
  IPC                                |       1.95 |       1.81 |       1.05 |       1.47
  Time (ns)                          |   79482531 |   79482511 |   79481994 |   79482518
Branch predictor stats               |            |            |            |           
  num correct                        |   85821991 |   54299383 |   13678195 |   28190931
  num incorrect                      |    5855058 |    5954188 |    9414386 |    4725344
  misprediction rate                 |      6.39% |      9.88% |     40.77% |     14.36%
  mpki                               |      12.59 |      13.81 |      37.66 |      13.50
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |   76255215 |   66497758 |   20500819 |   51309804
    num misses                       |         39 |        358 |         52 |         65
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |  151556616 |  174351728 |   73920987 |  167860255
    num misses                       |         23 |      54652 |       4511 |     940510
    miss rate                        |      0.00% |      0.03% |      0.01% |      0.56%
    mpki                             |       0.00 |       0.13 |       0.02 |       2.69
  L2 TLB                             |            |            |            |           
    num accesses                     |         62 |      55010 |       4563 |     940575
    num misses                       |         62 |       1798 |       4160 |       6014
    miss rate                        |    100.00% |      3.27% |     91.17% |      0.64%
    mpki                             |       0.00 |       0.00 |       0.02 |       0.02
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |   76255215 |   66497758 |   20500819 |   51309804
    num cache misses                 |     714065 |    1382386 |       1629 |    1492801
    miss rate                        |      0.94% |      2.08% |      0.01% |      2.91%
    mpki                             |       1.54 |       3.21 |       0.01 |       4.26
  Cache L1-D                         |            |            |            |           
    num cache accesses               |  151556616 |  174351728 |   73920987 |  167860255
    num cache misses                 |       2671 |    1436666 |     266631 |    5598704
    miss rate                        |      0.00% |      0.82% |      0.36% |      3.34%
    mpki                             |       0.01 |       3.33 |       1.07 |      15.99
  Cache L2                           |            |            |            |           
    num cache accesses               |     717119 |    2822516 |     270200 |    7092915
    num cache misses                 |       8559 |     149783 |     258810 |      41466
    miss rate                        |      1.19% |      5.31% |     95.78% |      0.58%
    mpki                             |       0.02 |       0.35 |       1.04 |       0.12
  Cache L3                           |            |            |            |           
    num cache accesses               |       8942 |     153253 |     260786 |      43183
    num cache misses                 |       8558 |      48184 |     257986 |      28776
    miss rate                        |     95.71% |     31.44% |     98.93% |     66.64%
    mpki                             |       0.02 |       0.11 |       1.03 |       0.08
DRAM summary                         |            |            |            |           
  num dram accesses                  |     564971 |          0 |          0 |          0
  average dram access latency (ns)   |     112.44 |        inf |        inf |        inf
  average dram queueing delay        |       2.43 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      7.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
