                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |  467212250 |  433632826 |  249999883 |  355280745
  Cycles                             |  238073300 |  238073415 |  238071460 |  238073415
  IPC                                |       1.96 |       1.82 |       1.05 |       1.49
  Time (ns)                          |   79357767 |   79357805 |   79357154 |   79357805
Branch predictor stats               |            |            |            |           
  num correct                        |   86224789 |   54614179 |   13678195 |   28607163
  num incorrect                      |    5882543 |    6001781 |    9414386 |    4791073
  misprediction rate                 |      6.39% |      9.90% |     40.77% |     14.35%
  mpki                               |      12.59 |      13.84 |      37.66 |      13.49
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |   76612239 |   66917490 |   20500819 |   52065396
    num misses                       |         39 |        358 |         52 |         65
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |  152266987 |  175428428 |   73920987 |  170324819
    num misses                       |         23 |      54656 |       4511 |     954894
    miss rate                        |      0.00% |      0.03% |      0.01% |      0.56%
    mpki                             |       0.00 |       0.13 |       0.02 |       2.69
  L2 TLB                             |            |            |            |           
    num accesses                     |         62 |      55014 |       4563 |     954959
    num misses                       |         62 |       1798 |       4160 |       6066
    miss rate                        |    100.00% |      3.27% |     91.17% |      0.64%
    mpki                             |       0.00 |       0.00 |       0.02 |       0.02
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |   76612239 |   66917490 |   20500819 |   52065396
    num cache misses                 |     713752 |    1390191 |       1148 |    1514735
    miss rate                        |      0.93% |      2.08% |      0.01% |      2.91%
    mpki                             |       1.53 |       3.21 |       0.00 |       4.26
  Cache L1-D                         |            |            |            |           
    num cache accesses               |  152266987 |  175428428 |   73920987 |  170324819
    num cache misses                 |       1347 |    1434765 |     265666 |    5670077
    miss rate                        |      0.00% |      0.82% |      0.36% |      3.33%
    mpki                             |       0.00 |       3.31 |       1.06 |      15.96
  Cache L2                           |            |            |            |           
    num cache accesses               |     715272 |    2828452 |     268217 |    7185441
    num cache misses                 |       3778 |      78977 |     257325 |      15712
    miss rate                        |      0.53% |      2.79% |     95.94% |      0.22%
    mpki                             |       0.01 |       0.18 |       1.03 |       0.04
  Cache L3                           |            |            |            |           
    num cache accesses               |       3951 |      83228 |     258753 |      16492
    num cache misses                 |       3778 |      39234 |     256751 |      15486
    miss rate                        |     95.62% |     47.14% |     99.23% |     93.90%
    mpki                             |       0.01 |       0.09 |       1.03 |       0.04
DRAM summary                         |            |            |            |           
  num dram accesses                  |     511798 |          0 |          0 |          0
  average dram access latency (ns)   |     112.17 |        inf |        inf |        inf
  average dram queueing delay        |       2.17 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      6.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
