                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |  486844383 |  435514549 |  249999923 |  368911667
  Cycles                             |  247290825 |  247290906 |  247289317 |  247290900
  IPC                                |       1.97 |       1.76 |       1.01 |       1.49
  Time (ns)                          |   82430275 |   82430302 |   82429773 |   82430300
Branch predictor stats               |            |            |            |           
  num correct                        |   89847644 |   54840360 |   13678195 |   29718413
  num incorrect                      |    6129519 |    6036129 |    9414386 |    4969847
  misprediction rate                 |      6.39% |      9.92% |     40.77% |     14.33%
  mpki                               |      12.59 |      13.86 |      37.66 |      13.47
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |   79831054 |   67219218 |   20500819 |   54075876
    num misses                       |         39 |        358 |         52 |         65
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |  158663477 |  176201648 |   73920987 |  176858176
    num misses                       |         23 |      54654 |       4511 |     993698
    miss rate                        |      0.00% |      0.03% |      0.01% |      0.56%
    mpki                             |       0.00 |       0.13 |       0.02 |       2.69
  L2 TLB                             |            |            |            |           
    num accesses                     |         62 |      55012 |       4563 |     993763
    num misses                       |         62 |       1798 |       4160 |       6183
    miss rate                        |    100.00% |      3.27% |     91.17% |      0.62%
    mpki                             |       0.00 |       0.00 |       0.02 |       0.02
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |   79831054 |   67219218 |   20500819 |   54075876
    num cache misses                 |     741964 |    1410417 |      15047 |    1588436
    miss rate                        |      0.93% |      2.10% |      0.07% |      2.94%
    mpki                             |       1.52 |       3.24 |       0.06 |       4.31
  Cache L1-D                         |            |            |            |           
    num cache accesses               |  158663477 |  176201648 |   73920987 |  176858176
    num cache misses                 |        471 |    1444305 |     288063 |    5868493
    miss rate                        |      0.00% |      0.82% |      0.39% |      3.32%
    mpki                             |       0.00 |       3.32 |       1.15 |      15.91
  Cache L2                           |            |            |            |           
    num cache accesses               |     742485 |    2859054 |     307431 |    7457323
    num cache misses                 |       1315 |      88656 |     293509 |      16604
    miss rate                        |      0.18% |      3.10% |     95.47% |      0.22%
    mpki                             |       0.00 |       0.20 |       1.17 |       0.05
  Cache L3                           |            |            |            |           
    num cache accesses               |       1365 |      93703 |     297930 |      17101
    num cache misses                 |       1315 |      69741 |     293427 |      16522
    miss rate                        |     96.34% |     74.43% |     98.49% |     96.61%
    mpki                             |       0.00 |       0.16 |       1.17 |       0.04
DRAM summary                         |            |            |            |           
  num dram accesses                  |     607985 |          0 |          0 |          0
  average dram access latency (ns)   |     111.80 |        inf |        inf |        inf
  average dram queueing delay        |       1.79 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      7.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
