                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |  468926839 |  438367158 |  249999883 |  360008559
  Cycles                             |  238228203 |  238228214 |  238226092 |  238228201
  IPC                                |       1.97 |       1.84 |       1.05 |       1.51
  Time (ns)                          |   79409401 |   79409405 |   79408698 |   79409401
Branch predictor stats               |            |            |            |           
  num correct                        |   86541216 |   55182291 |   13678195 |   28992092
  num incorrect                      |    5904122 |    6087856 |    9414386 |    4852863
  misprediction rate                 |      6.39% |      9.94% |     40.77% |     14.34%
  mpki                               |      12.59 |      13.89 |      37.66 |      13.48
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |   76893083 |   67675245 |   20500819 |   52760176
    num misses                       |         39 |        358 |         52 |         65
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |  152825405 |  177374169 |   73920987 |  172585853
    num misses                       |         23 |      54660 |       4511 |     968235
    miss rate                        |      0.00% |      0.03% |      0.01% |      0.56%
    mpki                             |       0.00 |       0.12 |       0.02 |       2.69
  L2 TLB                             |            |            |            |           
    num accesses                     |         62 |      55018 |       4563 |     968300
    num misses                       |         62 |       1798 |       4160 |       6110
    miss rate                        |    100.00% |      3.27% |     91.17% |      0.63%
    mpki                             |       0.00 |       0.00 |       0.02 |       0.02
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |   76893083 |   67675245 |   20500819 |   52760176
    num cache misses                 |     714717 |    1409696 |       1006 |    1538052
    miss rate                        |      0.93% |      2.08% |      0.00% |      2.92%
    mpki                             |       1.52 |       3.22 |       0.00 |       4.27
  Cache L1-D                         |            |            |            |           
    num cache accesses               |  152825405 |  177374169 |   73920987 |  172585853
    num cache misses                 |        543 |    1434454 |     265618 |    5736780
    miss rate                        |      0.00% |      0.81% |      0.36% |      3.32%
    mpki                             |       0.00 |       3.27 |       1.06 |      15.94
  Cache L2                           |            |            |            |           
    num cache accesses               |     715306 |    2846050 |     268027 |    7274977
    num cache misses                 |       1445 |      54479 |     257106 |       4936
    miss rate                        |      0.20% |      1.91% |     95.93% |      0.07%
    mpki                             |       0.00 |       0.12 |       1.03 |       0.01
  Cache L3                           |            |            |            |           
    num cache accesses               |       1491 |      57245 |     258534 |       5120
    num cache misses                 |       1445 |      27246 |     256929 |       4935
    miss rate                        |     96.91% |     47.60% |     99.38% |     96.39%
    mpki                             |       0.00 |       0.06 |       1.03 |       0.01
DRAM summary                         |            |            |            |           
  num dram accesses                  |     477746 |          0 |          0 |          0
  average dram access latency (ns)   |     111.89 |        inf |        inf |        inf
  average dram queueing delay        |       1.88 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      6.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
