                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |  467387924 |  429211385 |  249999883 |  355424111
  Cycles                             |  238194676 |  238194803 |  238193109 |  238194757
  IPC                                |       1.96 |       1.80 |       1.05 |       1.49
  Time (ns)                          |   79398226 |   79398268 |   79397703 |   79398253
Branch predictor stats               |            |            |            |           
  num correct                        |   86257087 |   54083717 |   13678195 |   28619067
  num incorrect                      |    5884705 |    5921077 |    9414386 |    4793030
  misprediction rate                 |      6.39% |      9.87% |     40.77% |     14.35%
  mpki                               |      12.59 |      13.80 |      37.66 |      13.49
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |   76641675 |   66209282 |   20500819 |   52086503
    num misses                       |         39 |        358 |         52 |         65
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |  152324601 |  173611178 |   73920987 |  170393895
    num misses                       |         23 |      54632 |       4511 |     955324
    miss rate                        |      0.00% |      0.03% |      0.01% |      0.56%
    mpki                             |       0.00 |       0.13 |       0.02 |       2.69
  L2 TLB                             |            |            |            |           
    num accesses                     |         62 |      54990 |       4563 |     955389
    num misses                       |         62 |       1798 |       4160 |       6067
    miss rate                        |    100.00% |      3.27% |     91.17% |      0.64%
    mpki                             |       0.00 |       0.00 |       0.02 |       0.02
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |   76641675 |   66209282 |   20500819 |   52086503
    num cache misses                 |     714021 |    1372384 |       1223 |    1515621
    miss rate                        |      0.93% |      2.07% |      0.01% |      2.91%
    mpki                             |       1.53 |       3.20 |       0.00 |       4.26
  Cache L1-D                         |            |            |            |           
    num cache accesses               |  152324601 |  173611178 |   73920987 |  170393895
    num cache misses                 |       1418 |    1437142 |     265813 |    5672496
    miss rate                        |      0.00% |      0.83% |      0.36% |      3.33%
    mpki                             |       0.00 |       3.35 |       1.06 |      15.96
  Cache L2                           |            |            |            |           
    num cache accesses               |     715588 |    2814057 |     268487 |    7188699
    num cache misses                 |       3902 |      85954 |     257572 |      15930
    miss rate                        |      0.55% |      3.05% |     95.93% |      0.22%
    mpki                             |       0.01 |       0.20 |       1.03 |       0.04
  Cache L3                           |            |            |            |           
    num cache accesses               |       4051 |      91243 |     259048 |      16653
    num cache misses                 |       3878 |      50617 |     257148 |      15630
    miss rate                        |     95.73% |     55.47% |     99.27% |     93.86%
    mpki                             |       0.01 |       0.12 |       1.03 |       0.04
DRAM summary                         |            |            |            |           
  num dram accesses                  |     526966 |          0 |          0 |          0
  average dram access latency (ns)   |     112.23 |        inf |        inf |        inf
  average dram queueing delay        |       2.22 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      6.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
