                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7      | Core 8      | Core 9      | Core 10     | Core 11     | Core 12     | Core 13     | Core 14     | Core 15    
  Instructions                       |  2122733664 |  1069059498 |  2172318938 |  1146652866 |  3790708400 |   486131912 |  6055026625 |  3424296041 |  8268358749 |   454850549 |   689418893 |  3889785985 |   249999981 |  1721875148 |  1860440769 |  7339236005
  Cycles                             |  4488804753 |  4488804900 |  4488805032 |  4488804937 |  4488804702 |  4488805275 |  4488804733 |  4488804759 |  4488804733 |  4488805135 |  4488805042 |  4488804671 |  4488800536 |  4488804743 |  4488804767 |  4488804715
  IPC                                |        0.47 |        0.24 |        0.48 |        0.26 |        0.84 |        0.11 |        1.35 |        0.76 |        1.84 |        0.10 |        0.15 |        0.87 |        0.06 |        0.38 |        0.41 |        1.64
  Time (ns)                          |  1496268251 |  1496268300 |  1496268344 |  1496268312 |  1496268234 |  1496268425 |  1496268244 |  1496268253 |  1496268244 |  1496268378 |  1496268347 |  1496268224 |  1496266845 |  1496268248 |  1496268256 |  1496268238
Branch predictor stats               |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num correct                        |   129021221 |    35148951 |     2825032 |    70589180 |   215513085 |    66830654 |   266962655 |    63598464 |  1525929714 |    75503433 |    54695255 |   179123896 |    58565837 |    39584458 |   283113668 |   488941640
  num incorrect                      |    77638572 |    16548254 |       47876 |     2544263 |    36471054 |     9178963 |    15162006 |     9614605 |   104097276 |     4596189 |     4493926 |     1489386 |     6500447 |      705693 |    60901112 |    83948623
  misprediction rate                 |      37.57% |      32.01% |       1.67% |       3.48% |      14.47% |      12.08% |       5.37% |      13.13% |       6.39% |       5.74% |       7.59% |       0.82% |       9.99% |       1.75% |      17.70% |      14.65%
  mpki                               |       36.57 |       15.48 |        0.02 |        2.22 |        9.62 |       18.88 |        2.50 |        2.81 |       12.59 |       10.10 |        6.52 |        0.38 |       26.00 |        0.41 |       32.73 |       11.44
TLB Summary                          |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
