                                     | Core 0      | Core 1      | Core 2      | Core 3     
  Instructions                       |   538649364 |   249999973 |  1011575141 |   262059045
  Cycles                             |  1031200968 |  1031196947 |  1031200988 |  1031201760
  IPC                                |        0.52 |        0.24 |        0.98 |        0.25
  Time (ns)                          |   343733656 |   343732316 |   343733663 |   343733920
Branch predictor stats               |             |             |             |            
  num correct                        |    32732426 |    40600608 |    55001538 |    44781983
  num incorrect                      |    19697629 |     2521753 |    38225126 |     4039558
  misprediction rate                 |      37.57% |       5.85% |      41.00% |       8.27%
  mpki                               |       36.57 |       10.09 |       37.79 |       15.41
TLB Summary                          |             |             |             |            
  I-TLB                              |             |             |             |            
    num accesses                     |    64267060 |    41868591 |    82726878 |    30518679
    num misses                       |          10 |           4 |          52 |          42
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |            
    num accesses                     |   247774576 |    75636447 |   298764961 |    90640850
    num misses                       |     1700181 |       88470 |       18068 |     1509046
    miss rate                        |       0.69% |       0.12% |       0.01% |       1.66%
    mpki                             |        3.16 |        0.35 |        0.02 |        5.76
  L2 TLB                             |             |             |             |            
    num accesses                     |     1700191 |       88474 |       18120 |     1509088
    num misses                       |     1350966 |       88474 |       16262 |      414436
    miss rate                        |      79.46% |     100.00% |      89.75% |      27.46%
    mpki                             |        2.51 |        0.35 |        0.02 |        1.58
Cache Summary                        |             |             |             |            
  Cache L1-I                         |             |             |             |            
    num cache accesses               |    64267060 |    41868591 |    82726878 |    30518679
    num cache misses                 |       19882 |        3207 |       23337 |       19597
    miss rate                        |       0.03% |       0.01% |       0.03% |       0.06%
    mpki                             |        0.04 |        0.01 |        0.02 |        0.07
  Cache L1-D                         |             |             |             |            
    num cache accesses               |   247774576 |    75636447 |   298764961 |    90640850
    num cache misses                 |     3865565 |     5662316 |     1105782 |    10697984
    miss rate                        |       1.56% |       7.49% |       0.37% |      11.80%
    mpki                             |        7.18 |       22.65 |        1.09 |       40.82
  Cache L2                           |             |             |             |            
    num cache accesses               |     4402173 |     7685112 |     1156871 |    12023494
    num cache misses                 |     2981107 |     5665523 |     1090099 |     8469169
    miss rate                        |      67.72% |      73.72% |      94.23% |      70.44%
    mpki                             |        5.53 |       22.66 |        1.08 |       32.32
  Cache L3                           |             |             |             |            
    num cache accesses               |     3573555 |     7685112 |     1118097 |     9776732
    num cache misses                 |     2009798 |     5659511 |     1088797 |     6688018
    miss rate                        |      56.24% |      73.64% |      97.38% |      68.41%
    mpki                             |        3.73 |       22.64 |        1.08 |       25.52
DRAM summary                         |             |             |             |            
  num dram accesses                  |    21724912 |           0 |           0 |           0
  average dram access latency (ns)   |      135.09 |         inf |         inf |         inf
  average dram queueing delay        |       25.08 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |      63.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |            
  num loads from dram                |           0 |           0 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0
