                                     | Core 0      | Core 1      | Core 2      | Core 3     
  Instructions                       |  1427552340 |   249999989 |   850912785 |  1915690797
  Cycles                             |  3670186800 |  3670183157 |  3670187478 |  3670186744
  IPC                                |        0.39 |        0.07 |        0.23 |        0.52
  Time (ns)                          |  1223395600 |  1223394386 |  1223395826 |  1223395582
Branch predictor stats               |             |             |             |            
  num correct                        |    86762310 |    43244780 |   117036212 |   291118434
  num incorrect                      |    52209839 |    11689069 |    16072753 |    62915555
  misprediction rate                 |      37.57% |      21.28% |      12.07% |      17.77%
  mpki                               |       36.57 |       46.76 |       18.89 |       32.84
TLB Summary                          |             |             |             |            
  I-TLB                              |             |             |             |            
    num accesses                     |   170333665 |    23761816 |   149121185 |   264449409
    num misses                       |          10 |           3 |         101 |         388
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |            
    num accesses                     |   656411906 |    88558906 |   396522327 |   743685550
    num misses                       |     4501651 |    21160418 |    15447300 |     3932034
    miss rate                        |       0.69% |      23.89% |       3.90% |       0.53%
    mpki                             |        3.15 |       84.64 |       18.15 |        2.05
  L2 TLB                             |             |             |             |            
    num accesses                     |     4501661 |    21160421 |    15447401 |     3932422
    num misses                       |     3576865 |    10898400 |     4634148 |      366733
    miss rate                        |      79.46% |      51.50% |      30.00% |       9.33%
    mpki                             |        2.51 |       43.59 |        5.45 |        0.19
Cache Summary                        |             |             |             |            
  Cache L1-I                         |             |             |             |            
    num cache accesses               |   170333665 |    23761816 |   149121185 |   264449409
    num cache misses                 |       84751 |      111758 |     2335997 |    16179363
    miss rate                        |       0.05% |       0.47% |       1.57% |       6.12%
    mpki                             |        0.06 |        0.45 |        2.75 |        8.45
  Cache L1-D                         |             |             |             |            
    num cache accesses               |   656411906 |    88558906 |   396522327 |   743685550
    num cache misses                 |    10290555 |    28830033 |    22348134 |    17057175
    miss rate                        |       1.57% |      32.55% |       5.64% |       2.29%
    mpki                             |        7.21 |      115.32 |       26.26 |        8.90
  Cache L2                           |             |             |             |            
    num cache accesses               |    12436900 |    32907817 |    30165386 |    34414332
    num cache misses                 |     9560697 |    22828018 |    20106772 |    17684149
    miss rate                        |      76.87% |      69.37% |      66.66% |      51.39%
    mpki                             |        6.70 |       91.31 |       23.63 |        9.23
  Cache L3                           |             |             |             |            
    num cache accesses               |    11712561 |    26842343 |    25604160 |    18872594
    num cache misses                 |     9423414 |    20992537 |    18112775 |     7813021
    miss rate                        |      80.46% |      78.21% |      70.74% |      41.40%
    mpki                             |        6.60 |       83.97 |       21.29 |        4.08
DRAM summary                         |             |             |             |            
  num dram accesses                  |    74017322 |           0 |           0 |           0
  average dram access latency (ns)   |      120.91 |         inf |         inf |         inf
  average dram queueing delay        |       10.90 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |      60.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |            
  num loads from dram                |           0 |           0 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0
