                                     | Core 0      | Core 1      | Core 2      | Core 3     
  Instructions                       |  2762478404 |   249999989 |   887518888 |  2509998464
  Cycles                             |  4508316082 |  4508311960 |  4508315708 |  4508315700
  IPC                                |        0.61 |        0.06 |        0.20 |        0.56
  Time (ns)                          |  1502772028 |  1502770654 |  1502771903 |  1502771900
Branch predictor stats               |             |             |             |            
  num correct                        |   167942598 |    43244780 |   121992055 |   383087720
  num incorrect                      |   101059785 |    11689069 |    16766574 |    81600993
  misprediction rate                 |      37.57% |      21.28% |      12.08% |      17.56%
  mpki                               |       36.58 |       46.76 |       18.89 |       32.51
TLB Summary                          |             |             |             |            
  I-TLB                              |             |             |             |            
    num accesses                     |   329757595 |    23761816 |   155479884 |   345620631
    num misses                       |          10 |           3 |         105 |         482
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |            
    num accesses                     |  1269968325 |    88558906 |   413573232 |   973291943
    num misses                       |     8741335 |    21160372 |    16097609 |     5168441
    miss rate                        |       0.69% |      23.89% |       3.89% |       0.53%
    mpki                             |        3.16 |       84.64 |       18.14 |        2.06
  L2 TLB                             |             |             |             |            
    num accesses                     |     8741345 |    21160375 |    16097714 |     5168923
    num misses                       |     6950458 |    10898536 |     4816650 |      507779
    miss rate                        |      79.51% |      51.50% |      29.92% |       9.82%
    mpki                             |        2.52 |       43.59 |        5.43 |        0.20
Cache Summary                        |             |             |             |            
  Cache L1-I                         |             |             |             |            
    num cache accesses               |   329757595 |    23761816 |   155479884 |   345620631
    num cache misses                 |      117454 |      105958 |     2347626 |    19733651
    miss rate                        |       0.04% |       0.45% |       1.51% |       5.71%
    mpki                             |        0.04 |        0.42 |        2.65 |        7.86
  Cache L1-D                         |             |             |             |            
    num cache accesses               |  1269968325 |    88558906 |   413573232 |   973291943
    num cache misses                 |    19568354 |    28756108 |    23101778 |    22912800
    miss rate                        |       1.54% |      32.47% |       5.59% |       2.35%
    mpki                             |        7.08 |      115.02 |       26.03 |        9.13
  Cache L2                           |             |             |             |            
    num cache accesses               |    21360017 |    32556715 |    29946238 |    43720405
    num cache misses                 |    16479893 |    22321869 |    20591657 |    21252128
    miss rate                        |      77.15% |      68.56% |      68.76% |      48.61%
    mpki                             |        5.97 |       89.29 |       23.20 |        8.47
  Cache L3                           |             |             |             |            
    num cache accesses               |    18561912 |    26063851 |    25100279 |    22329810
    num cache misses                 |     5540581 |    17157184 |    15304153 |     6238190
    miss rate                        |      29.85% |      65.83% |      60.97% |      27.94%
    mpki                             |        2.01 |       68.63 |       17.24 |        2.49
DRAM summary                         |             |             |             |            
  num dram accesses                  |    60329180 |           0 |           0 |           0
  average dram access latency (ns)   |      178.70 |         inf |         inf |         inf
  average dram queueing delay        |       58.68 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |      80.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |            
  num loads from dram                |           0 |           0 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0
