                                     | Core 0      | Core 1      | Core 2      | Core 3     
  Instructions                       |  2447606800 |   249999989 |   841586515 |  2451401797
  Cycles                             |  3496371698 |  3496353266 |  3496371190 |  3496371314
  IPC                                |        0.70 |        0.07 |        0.24 |        0.70
  Time (ns)                          |  1165457233 |  1165451089 |  1165457064 |  1165457105
Branch predictor stats               |             |             |             |            
  num correct                        |   148781544 |    43244780 |   115809088 |   372616027
  num incorrect                      |    89529210 |    11689069 |    15887477 |    80461590
  misprediction rate                 |      37.57% |      21.28% |      12.06% |      17.76%
  mpki                               |       36.58 |       46.76 |       18.88 |       32.82
TLB Summary                          |             |             |             |            
  I-TLB                              |             |             |             |            
    num accesses                     |   292107760 |    23761816 |   147488403 |   338470097
    num misses                       |          10 |           3 |         101 |         468
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |            
    num accesses                     |  1125289272 |    88558906 |   392182830 |   951565677
    num misses                       |     7731994 |    21160436 |    15283889 |     5046155
    miss rate                        |       0.69% |      23.89% |       3.90% |       0.53%
    mpki                             |        3.16 |       84.64 |       18.16 |        2.06
  L2 TLB                             |             |             |             |            
    num accesses                     |     7732004 |    21160439 |    15283990 |     5046623
    num misses                       |     6145278 |    10898581 |     4588638 |      471232
    miss rate                        |      79.48% |      51.50% |      30.02% |       9.34%
    mpki                             |        2.51 |       43.59 |        5.45 |        0.19
Cache Summary                        |             |             |             |            
  Cache L1-I                         |             |             |             |            
    num cache accesses               |   292107760 |    23761816 |   147488403 |   338470097
    num cache misses                 |      161413 |      202752 |     3380431 |    19882183
    miss rate                        |       0.06% |       0.85% |       2.29% |       5.87%
    mpki                             |        0.07 |        0.81 |        4.02 |        8.11
  Cache L1-D                         |             |             |             |            
    num cache accesses               |  1125289272 |    88558906 |   392182830 |   951565677
    num cache misses                 |    17394878 |    28815204 |    22556791 |    21533576
    miss rate                        |       1.55% |      32.54% |       5.75% |       2.26%
    mpki                             |        7.11 |      115.26 |       26.80 |        8.78
  Cache L2                           |             |             |             |            
    num cache accesses               |    19135135 |    32888645 |    31013867 |    42375679
    num cache misses                 |    16337141 |    24605280 |    22337900 |    21140817
    miss rate                        |      85.38% |      74.81% |      72.03% |      49.89%
    mpki                             |        6.67 |       98.42 |       26.54 |        8.62
  Cache L3                           |             |             |             |            
    num cache accesses               |    18132319 |    28502873 |    27423704 |    22102779
    num cache misses                 |     5023183 |    19785409 |    17008692 |     5523458
    miss rate                        |      27.70% |      69.42% |      62.02% |      24.99%
    mpki                             |        2.05 |       79.14 |       20.21 |        2.25
DRAM summary                         |             |             |             |            
  num dram accesses                  |    63808560 |           0 |           0 |           0
  average dram access latency (ns)   |      119.61 |         inf |         inf |         inf
  average dram queueing delay        |        9.60 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |      54.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |            
  num loads from dram                |           0 |           0 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0
