                                     | Core 0      | Core 1      | Core 2      | Core 3     
  Instructions                       |  2605201218 |   249999989 |   897380771 |  2505728502
  Cycles                             |  4518416295 |  4518412499 |  4518416345 |  4518416028
  IPC                                |        0.58 |        0.06 |        0.20 |        0.55
  Time (ns)                          |  1506138765 |  1506137500 |  1506138782 |  1506138676
Branch predictor stats               |             |             |             |            
  num correct                        |   158351730 |    43244780 |   123370327 |   382478622
  num incorrect                      |    95287824 |    11689069 |    16955371 |    81444402
  misprediction rate                 |      37.57% |      21.28% |      12.08% |      17.56%
  mpki                               |       36.58 |       46.76 |       18.89 |       32.50
TLB Summary                          |             |             |             |            
  I-TLB                              |             |             |             |            
    num accesses                     |   310928544 |    23761816 |   157201559 |   344989877
    num misses                       |          10 |           3 |         107 |         482
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |            
    num accesses                     |  1198000932 |    88558906 |   418152755 |   971581810
    num misses                       |     8224447 |    21160273 |    16283893 |     5158351
    miss rate                        |       0.69% |      23.89% |       3.89% |       0.53%
    mpki                             |        3.16 |       84.64 |       18.15 |        2.06
  L2 TLB                             |             |             |             |            
    num accesses                     |     8224457 |    21160276 |    16284000 |     5158833
    num misses                       |     6537947 |    10898331 |     4870052 |      507495
    miss rate                        |      79.49% |      51.50% |      29.91% |       9.84%
    mpki                             |        2.51 |       43.59 |        5.43 |        0.20
Cache Summary                        |             |             |             |            
  Cache L1-I                         |             |             |             |            
    num cache accesses               |   310928544 |    23761816 |   157201559 |   344989877
    num cache misses                 |      113640 |      105967 |     2370576 |    19713781
    miss rate                        |       0.04% |       0.45% |       1.51% |       5.71%
    mpki                             |        0.04 |        0.42 |        2.64 |        7.87
  Cache L1-D                         |             |             |             |            
    num cache accesses               |  1198000932 |    88558906 |   418152755 |   971581810
    num cache misses                 |    18516057 |    28756649 |    23353748 |    22928123
    miss rate                        |       1.55% |      32.47% |       5.58% |       2.36%
    mpki                             |        7.11 |      115.03 |       26.02 |        9.15
  Cache L2                           |             |             |             |            
    num cache accesses               |    20386167 |    32555411 |    30185219 |    43665795
    num cache misses                 |    15638366 |    22325358 |    20814687 |    21321649
    miss rate                        |      76.71% |      68.58% |      68.96% |      48.83%
    mpki                             |        6.00 |       89.30 |       23.19 |        8.51
  Cache L3                           |             |             |             |            
    num cache accesses               |    17787557 |    26065371 |    25287060 |    22349747
    num cache misses                 |     5872904 |    17163054 |    15191552 |     6172478
    miss rate                        |      33.02% |      65.85% |      60.08% |      27.62%
    mpki                             |        2.25 |       68.65 |       16.93 |        2.46
DRAM summary                         |             |             |             |            
  num dram accesses                  |    60436360 |           0 |           0 |           0
  average dram access latency (ns)   |      179.94 |         inf |         inf |         inf
  average dram queueing delay        |       59.92 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |      80.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |            
  num loads from dram                |           0 |           0 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0
