                                     | Core 0      | Core 1      | Core 2      | Core 3     
  Instructions                       |  3160305644 |   249999989 |   904484863 |  2657587133
  Cycles                             |  4840608314 |  4840604654 |  4840608953 |  4840608344
  IPC                                |        0.65 |        0.05 |        0.19 |        0.55
  Time (ns)                          |  1613536105 |  1613534885 |  1613536318 |  1613536115
Branch predictor stats               |             |             |             |            
  num correct                        |   192104552 |    43244780 |   124350407 |   404441687
  num incorrect                      |   115599835 |    11689069 |    17093288 |    86990209
  misprediction rate                 |      37.57% |      21.28% |      12.08% |      17.70%
  mpki                               |       36.58 |       46.76 |       18.90 |       32.73
TLB Summary                          |             |             |             |            
  I-TLB                              |             |             |             |            
    num accesses                     |   377179160 |    23761816 |   158438622 |   366559289
    num misses                       |          10 |           3 |         107 |         502
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |            
    num accesses                     |  1453015248 |    88558906 |   421527072 |  1031303951
    num misses                       |     9985431 |    21160359 |    16417175 |     5463010
    miss rate                        |       0.69% |      23.89% |       3.89% |       0.53%
    mpki                             |        3.16 |       84.64 |       18.15 |        2.06
  L2 TLB                             |             |             |             |            
    num accesses                     |     9985441 |    21160362 |    16417282 |     5463512
    num misses                       |     7937819 |    10898520 |     4908891 |      518352
    miss rate                        |      79.49% |      51.50% |      29.90% |       9.49%
    mpki                             |        2.51 |       43.59 |        5.43 |        0.20
Cache Summary                        |             |             |             |            
  Cache L1-I                         |             |             |             |            
    num cache accesses               |   377179160 |    23761816 |   158438622 |   366559289
    num cache misses                 |      135004 |      113745 |     2443054 |    21180724
    miss rate                        |       0.04% |       0.48% |       1.54% |       5.78%
    mpki                             |        0.04 |        0.45 |        2.70 |        7.97
  Cache L1-D                         |             |             |             |            
    num cache accesses               |  1453015248 |    88558906 |   421527072 |  1031303951
    num cache misses                 |    22390526 |    28786959 |    23621909 |    23325911
    miss rate                        |       1.54% |      32.51% |       5.60% |       2.26%
    mpki                             |        7.08 |      115.15 |       26.12 |        8.78
  Cache L2                           |             |             |             |            
    num cache accesses               |    24258595 |    32728699 |    30969212 |    45625285
    num cache misses                 |    18820065 |    22590856 |    21145570 |    21704195
    miss rate                        |      77.58% |      69.02% |      68.28% |      47.57%
    mpki                             |        5.96 |       90.36 |       23.38 |        8.17
  Cache L3                           |             |             |             |            
    num cache accesses               |    21007310 |    26466490 |    26062799 |    22826995
    num cache misses                 |     5433445 |    19081188 |    16592992 |     6599951
    miss rate                        |      25.86% |      72.10% |      63.67% |      28.91%
    mpki                             |        1.72 |       76.32 |       18.35 |        2.48
DRAM summary                         |             |             |             |            
  num dram accesses                  |    64833247 |           0 |           0 |           0
  average dram access latency (ns)   |      180.05 |         inf |         inf |         inf
  average dram queueing delay        |       60.03 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |      80.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |            
  num loads from dram                |           0 |           0 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0
