                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |  249999984 |  398178147 |  607821228 |  692407846 |  438150850 |  337270762 |  732796357 |  271456800
  Cycles                             |  427654467 |  427657502 |  427657396 |  427657491 |  427657500 |  427657505 |  427657413 |  427657311
  IPC                                |       0.58 |       0.93 |       1.42 |       1.62 |       1.02 |       0.79 |       1.71 |       0.63
  Time (ns)                          |  142551489 |  142552501 |  142552465 |  142552497 |  142552500 |  142552502 |  142552471 |  142552437
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |   15199251 |   60917136 |   48916172 |   39903856 |   18405973 |   50736863 |   48789358 |   15085011
  num incorrect                      |    9146162 |   15650880 |    8201545 |    6783639 |   18609355 |   11315232 |    8354348 |     352134
  misprediction rate                 |     37.57% |     20.44% |     14.36% |     14.53% |     50.27% |     18.24% |     14.62% |      2.28%
  mpki                               |      36.58 |      39.31 |      13.49 |       9.80 |      42.47 |      33.55 |      11.40 |       1.30
TLB Summary                          |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |   29844534 |   51845659 |   89058510 |   78094956 |   32292693 |   46995413 |   88879206 |   27578962
    num misses                       |         10 |         19 |         65 |         56 |         52 |        140 |         18 |         47
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |  114926447 |  133885440 |  291401706 |  324052794 |  124017219 |  131422463 |  308759527 |   94540243
    num misses                       |     791197 |     587988 |    1630434 |     209204 |       4854 |     700320 |    2158355 |     154074
    miss rate                        |      0.69% |      0.44% |      0.56% |      0.06% |      0.00% |      0.53% |      0.70% |      0.16%
    mpki                             |       3.16 |       1.48 |       2.68 |       0.30 |       0.01 |       2.08 |       2.95 |       0.57
  L2 TLB                             |            |            |            |            |            |            |            |           
    num accesses                     |     791207 |     588007 |    1630499 |     209260 |       4906 |     700460 |    2158373 |     154121
    num misses                       |     629351 |     123566 |      10345 |      32892 |       4288 |      57795 |      16581 |      47990
    miss rate                        |     79.54% |     21.01% |      0.63% |     15.72% |     87.40% |      8.25% |      0.77% |     31.14%
    mpki                             |       2.52 |       0.31 |       0.02 |       0.05 |       0.01 |       0.17 |       0.02 |       0.18
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |   29844534 |   51845659 |   89058510 |   78094956 |   32292693 |   46995413 |   88879206 |   27578962
    num cache misses                 |       4681 |     193313 |    2613254 |     109161 |       7693 |    2747407 |     731239 |       6094
    miss rate                        |      0.02% |      0.37% |      2.93% |      0.14% |      0.02% |      5.85% |      0.82% |      0.02%
    mpki                             |       0.02 |       0.49 |       4.30 |       0.16 |       0.02 |       8.15 |       1.00 |       0.02
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |  114926447 |  133885440 |  291401706 |  324052794 |  124017219 |  131422463 |  308759527 |   94540243
    num cache misses                 |    1781238 |     515896 |    9654131 |    1935238 |     293452 |    2408747 |    1442236 |    3414171
    miss rate                        |      1.55% |      0.39% |      3.31% |      0.60% |      0.24% |      1.83% |      0.47% |      3.61%
    mpki                             |       7.12 |       1.30 |      15.88 |       2.79 |       0.67 |       7.14 |       1.97 |      12.58
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |    2031738 |     824559 |   12271479 |    2046081 |     314234 |    5261420 |    2188440 |    3877998
    num cache misses                 |     973239 |     226141 |      93787 |     826593 |     281085 |     673298 |     109634 |    2577249
    miss rate                        |     47.90% |     27.43% |      0.76% |     40.40% |     89.45% |     12.80% |      5.01% |     66.46%
    mpki                             |       3.89 |       0.57 |       0.15 |       1.19 |       0.64 |       2.00 |       0.15 |       9.49
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |    1283464 |     344077 |      98860 |     842480 |     294525 |     779807 |     124973 |    3051641
    num cache misses                 |     776282 |     224361 |      93588 |     295589 |     280970 |     511263 |     109225 |    2391732
    miss rate                        |     60.48% |     65.21% |     94.67% |     35.09% |     95.40% |     65.56% |     87.40% |     78.38%
    mpki                             |       3.11 |       0.56 |       0.15 |       0.43 |       0.64 |       1.52 |       0.15 |       8.81
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |    6836967 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     119.43 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |       9.42 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     48.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
