                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |  293342033 |  371829974 |  564123310 |  656086003 |  397021721 |  285848415 |  695341289 |  249999909
  Cycles                             |  383624286 |  383624281 |  383624280 |  383624458 |  383624282 |  383624293 |  383624278 |  383622202
  IPC                                |       0.76 |       0.97 |       1.47 |       1.71 |       1.03 |       0.75 |       1.81 |       0.65
  Time (ns)                          |  127874762 |  127874760 |  127874760 |  127874819 |  127874761 |  127874764 |  127874759 |  127874067
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |   17817905 |   56802960 |   45417443 |   37918399 |   17379576 |   43291468 |   46567870 |   13325983
  num incorrect                      |   10722203 |   14657927 |    7640930 |    6429396 |   16592680 |    9442087 |    7895099 |     311809
  misprediction rate                 |     37.57% |     20.51% |     14.40% |     14.50% |     48.84% |     17.91% |     14.50% |      2.29%
  mpki                               |      36.55 |      39.42 |      13.54 |       9.80 |      41.79 |      33.03 |      11.35 |       1.25
TLB Summary                          |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |   34985277 |   48416780 |   82702870 |   74139526 |   29721248 |   39652447 |   84283442 |   24892730
    num misses                       |         10 |         19 |         65 |         56 |         52 |        140 |         18 |         47
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |  135035392 |  125035560 |  270610337 |  306996436 |  113068468 |  111188545 |  292685507 |   86640595
    num misses                       |     922957 |     551495 |    1511831 |     196500 |       4854 |     598385 |    2013068 |     133020
    miss rate                        |      0.68% |      0.44% |      0.56% |      0.06% |      0.00% |      0.54% |      0.69% |      0.15%
    mpki                             |       3.15 |       1.48 |       2.68 |       0.30 |       0.01 |       2.09 |       2.90 |       0.53
  L2 TLB                             |            |            |            |            |            |            |            |           
    num accesses                     |     922967 |     551514 |    1511896 |     196556 |       4906 |     598525 |    2013086 |     133067
    num misses                       |     733097 |     115461 |       9750 |      31056 |       4288 |      53841 |      15297 |      40810
    miss rate                        |     79.43% |     20.94% |      0.64% |     15.80% |     87.40% |      9.00% |      0.76% |     30.67%
    mpki                             |       2.50 |       0.31 |       0.02 |       0.05 |       0.01 |       0.19 |       0.02 |       0.16
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |   34985277 |   48416780 |   82702870 |   74139526 |   29721248 |   39652447 |   84283442 |   24892730
    num cache misses                 |      20585 |     242644 |    2705092 |     210886 |       4779 |    2331465 |     699129 |      24405
    miss rate                        |      0.06% |      0.50% |      3.27% |      0.28% |      0.02% |      5.88% |      0.83% |      0.10%
    mpki                             |       0.07 |       0.65 |       4.80 |       0.32 |       0.01 |       8.16 |       1.01 |       0.10
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |  135035392 |  125035560 |  270610337 |  306996436 |  113068468 |  111188545 |  292685507 |   86640595
    num cache misses                 |    2107847 |     510610 |    9206429 |    1876464 |     282969 |    2399586 |    1396889 |    3046393
    miss rate                        |      1.56% |      0.41% |      3.40% |      0.61% |      0.25% |      2.16% |      0.48% |      3.52%
    mpki                             |       7.19 |       1.37 |      16.32 |       2.86 |       0.71 |       8.39 |       2.01 |      12.19
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |    2291499 |     853074 |   11912744 |    2087867 |     293043 |    4832452 |    2099923 |    3498171
    num cache misses                 |    1985458 |     338311 |    1807565 |    1464321 |     271357 |    2313562 |     183125 |    2467495
    miss rate                        |     86.64% |     39.66% |     15.17% |     70.13% |     92.60% |     47.88% |      8.72% |     70.54%
    mpki                             |       6.77 |       0.91 |       3.20 |       2.23 |       0.68 |       8.09 |       0.26 |       9.87
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |    2169279 |     439857 |    1808958 |    1464896 |     276855 |    2415062 |     187080 |    2901003
    num cache misses                 |     487513 |     142297 |      28486 |     150407 |     268553 |     568273 |      22577 |    2146233
    miss rate                        |     22.47% |     32.35% |      1.57% |     10.27% |     97.00% |     23.53% |     12.07% |     73.98%
    mpki                             |       1.66 |       0.38 |       0.05 |       0.23 |       0.68 |       1.99 |       0.03 |       8.58
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |    5589312 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     118.07 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |       8.06 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     43.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
