                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |  292128516 |  372894505 |  565469409 |  673401231 |  397124782 |  285715697 |  695292523 |  249999909
  Cycles                             |  383104800 |  383104814 |  383104818 |  383104768 |  383104806 |  383104805 |  383104737 |  383101732
  IPC                                |       0.76 |       0.97 |       1.48 |       1.76 |       1.04 |       0.75 |       1.81 |       0.65
  Time (ns)                          |  127701600 |  127701605 |  127701606 |  127701590 |  127701602 |  127701602 |  127701579 |  127700578
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |   17745656 |   56976667 |   45528498 |   38748484 |   17382136 |   43271903 |   46565511 |   13325983
  num incorrect                      |   10679174 |   14696977 |    7659462 |    6610516 |   16597743 |    9437337 |    7894755 |     311809
  misprediction rate                 |     37.57% |     20.51% |     14.40% |     14.57% |     48.85% |     17.90% |     14.50% |      2.29%
  mpki                               |      36.56 |      39.41 |      13.55 |       9.82 |      41.79 |      33.03 |      11.35 |       1.25
TLB Summary                          |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |   34842681 |   48554291 |   82902405 |   75922280 |   29727686 |   39633282 |   84278000 |   24892730
    num misses                       |         10 |         19 |         65 |         56 |         52 |        140 |         18 |         47
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |  134469263 |  125391901 |  271264638 |  315444666 |  113095869 |  111136729 |  292666443 |   86640595
    num misses                       |     919491 |     552709 |    1515472 |     201236 |       4854 |     598056 |    2013011 |     133021
    miss rate                        |      0.68% |      0.44% |      0.56% |      0.06% |      0.00% |      0.54% |      0.69% |      0.15%
    mpki                             |       3.15 |       1.48 |       2.68 |       0.30 |       0.01 |       2.09 |       2.90 |       0.53
  L2 TLB                             |            |            |            |            |            |            |            |           
    num accesses                     |     919501 |     552728 |    1515537 |     201292 |       4906 |     598196 |    2013029 |     133068
    num misses                       |     730345 |     115732 |       9788 |      31758 |       4288 |      53833 |      15294 |      40810
    miss rate                        |     79.43% |     20.94% |      0.65% |     15.78% |     87.40% |      9.00% |      0.76% |     30.67%
    mpki                             |       2.50 |       0.31 |       0.02 |       0.05 |       0.01 |       0.19 |       0.02 |       0.16
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |   34842681 |   48554291 |   82902405 |   75922280 |   29727686 |   39633282 |   84278000 |   24892730
    num cache misses                 |      20439 |     241539 |    2709852 |     216854 |       4206 |    2329740 |     698071 |      24404
    miss rate                        |      0.06% |      0.50% |      3.27% |      0.29% |      0.01% |      5.88% |      0.83% |      0.10%
    mpki                             |       0.07 |       0.65 |       4.79 |       0.32 |       0.01 |       8.15 |       1.00 |       0.10
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |  134469263 |  125391901 |  271264638 |  315444666 |  113095869 |  111136729 |  292666443 |   86640595
    num cache misses                 |    2098604 |     509340 |    9227918 |    1922563 |     280129 |    2398493 |    1396570 |    3046315
    miss rate                        |      1.56% |      0.41% |      3.40% |      0.61% |      0.25% |      2.16% |      0.48% |      3.52%
    mpki                             |       7.18 |       1.37 |      16.32 |       2.86 |       0.71 |       8.39 |       2.01 |      12.19
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |    2283223 |     850143 |   11938586 |    2139819 |     288640 |    4829894 |    2098193 |    3498715
    num cache misses                 |    1976436 |     334823 |    1806342 |    1498764 |     268497 |    2311503 |     180568 |    2467420
    miss rate                        |     86.56% |     39.38% |     15.13% |     70.04% |     93.02% |     47.86% |      8.61% |     70.52%
    mpki                             |       6.77 |       0.90 |       3.19 |       2.23 |       0.68 |       8.09 |       0.26 |       9.87
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |    2161253 |     435794 |    1807293 |    1499205 |     272991 |    2413266 |     184152 |    2901543
    num cache misses                 |     489944 |     136038 |      23415 |      94711 |     265585 |     568194 |      20460 |    2146409
    miss rate                        |     22.67% |     31.22% |      1.30% |      6.32% |     97.29% |     23.54% |     11.11% |     73.97%
    mpki                             |       1.68 |       0.36 |       0.04 |       0.14 |       0.67 |       1.99 |       0.03 |       8.59
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |    5477137 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     117.89 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |       7.88 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     42.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
