                                     | Core 0      | Core 1      | Core 2      | Core 3     
  Instructions                       |   519279452 |   369741353 |   484346193 |   249999973
  Cycles                             |  1386882105 |  1386881858 |  1386881406 |  1386878317
  IPC                                |        0.37 |        0.27 |        0.35 |        0.18
  Time (ns)                          |   462294035 |   462293953 |   462293802 |   462292772
Branch predictor stats               |             |             |             |            
  num correct                        |    31561281 |    29296943 |     4367786 |    40600608
  num incorrect                      |    18992907 |     2398542 |       29190 |     2521753
  misprediction rate                 |      37.57% |       7.57% |       0.66% |       5.85%
  mpki                               |       36.58 |        6.49 |        0.06 |       10.09
TLB Summary                          |             |             |             |            
  I-TLB                              |             |             |             |            
    num accesses                     |    61964753 |    31209635 |    42805541 |    41868591
    num misses                       |          10 |          42 |           3 |           4
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |            
    num accesses                     |   238782052 |   101800944 |   131526774 |    75636447
    num misses                       |     1641541 |      497594 |      233368 |       88470
    miss rate                        |       0.69% |       0.49% |       0.18% |       0.12%
    mpki                             |        3.16 |        1.35 |        0.48 |        0.35
  L2 TLB                             |             |             |             |            
    num accesses                     |     1641551 |      497636 |      233371 |       88474
    num misses                       |     1304331 |      157104 |      233189 |       88474
    miss rate                        |      79.46% |      31.57% |      99.92% |     100.00%
    mpki                             |        2.51 |        0.42 |        0.48 |        0.35
Cache Summary                        |             |             |             |            
  Cache L1-I                         |             |             |             |            
    num cache accesses               |    61964753 |    31209635 |    42805541 |    41868591
    num cache misses                 |       18018 |       31228 |       67420 |        1836
    miss rate                        |       0.03% |       0.10% |       0.16% |       0.00%
    mpki                             |        0.03 |        0.08 |        0.14 |        0.01
  Cache L1-D                         |             |             |             |            
    num cache accesses               |   238782052 |   101800944 |   131526774 |    75636447
    num cache misses                 |     3725557 |     5429432 |    24623351 |     5660891
    miss rate                        |       1.56% |       5.33% |      18.72% |       7.48%
    mpki                             |        7.17 |       14.68 |       50.84 |       22.64
  Cache L2                           |             |             |             |            
    num cache accesses               |     4373407 |     5509496 |    24690777 |     7682421
    num cache misses                 |     2826781 |     4650466 |    14995853 |     5662727
    miss rate                        |      64.64% |      84.41% |      60.73% |      73.71%
    mpki                             |        5.44 |       12.58 |       30.96 |       22.65
  Cache L3                           |             |             |             |            
    num cache accesses               |     3585980 |     4702856 |    14995859 |     7682421
    num cache misses                 |     2413391 |     4581950 |    14920399 |     5660111
    miss rate                        |      67.30% |      97.43% |      99.50% |      73.68%
    mpki                             |        4.65 |       12.39 |       30.81 |       22.64
DRAM summary                         |             |             |             |            
  num dram accesses                  |    42195647 |           0 |           0 |           0
  average dram access latency (ns)   |      180.52 |         inf |         inf |         inf
  average dram queueing delay        |       70.52 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |      91.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |            
  num loads from dram                |           0 |           0 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0
