                                     | Core 0      | Core 1      | Core 2      | Core 3     
  Instructions                       |   581003632 |   370306367 |   466394293 |   249999973
  Cycles                             |  1422212278 |  1422211938 |  1422212765 |  1422206650
  IPC                                |        0.41 |        0.26 |        0.33 |        0.18
  Time (ns)                          |   474070760 |   474070646 |   474070922 |   474068884
Branch predictor stats               |             |             |             |            
  num correct                        |    35291767 |    29343085 |     4207017 |    40600608
  num incorrect                      |    21236751 |     2403038 |       28120 |     2521753
  misprediction rate                 |      37.57% |       7.57% |       0.66% |       5.85%
  mpki                               |       36.55 |        6.49 |        0.06 |       10.09
TLB Summary                          |             |             |             |            
  I-TLB                              |             |             |             |            
    num accesses                     |    69295754 |    31253247 |    41218946 |    41868591
    num misses                       |          10 |          42 |           3 |           4
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |            
    num accesses                     |   267444145 |   101960349 |   126666872 |    75636447
    num misses                       |     1822040 |      499481 |      224812 |       88470
    miss rate                        |       0.68% |       0.49% |       0.18% |       0.12%
    mpki                             |        3.14 |        1.35 |        0.48 |        0.35
  L2 TLB                             |             |             |             |            
    num accesses                     |     1822050 |      499523 |      224815 |       88474
    num misses                       |     1447715 |      157414 |      224642 |       88474
    miss rate                        |      79.46% |      31.51% |      99.92% |     100.00%
    mpki                             |        2.49 |        0.43 |        0.48 |        0.35
Cache Summary                        |             |             |             |            
  Cache L1-I                         |             |             |             |            
    num cache accesses               |    69295754 |    31253247 |    41218946 |    41868591
    num cache misses                 |       41859 |       59711 |      319967 |        7090
    miss rate                        |       0.06% |       0.19% |       0.78% |       0.02%
    mpki                             |        0.07 |        0.16 |        0.69 |        0.03
  Cache L1-D                         |             |             |             |            
    num cache accesses               |   267444145 |   101960349 |   126666872 |    75636447
    num cache misses                 |     4202049 |     5462901 |    23752924 |     5663763
    miss rate                        |       1.57% |       5.36% |      18.75% |       7.49%
    mpki                             |        7.23 |       14.75 |       50.93 |       22.66
  Cache L2                           |             |             |             |            
    num cache accesses               |     4862436 |     5571452 |    24072897 |     7690511
    num cache misses                 |     3951650 |     5116815 |    15695955 |     5670853
    miss rate                        |      81.27% |      91.84% |      65.20% |      73.74%
    mpki                             |        6.80 |       13.82 |       33.65 |       22.68
  Cache L3                           |             |             |             |            
    num cache accesses               |     4636634 |     5165778 |    15695961 |     7690511
    num cache misses                 |     2346162 |     4532993 |    14422741 |     5660195
    miss rate                        |      50.60% |      87.75% |      91.89% |      73.60%
    mpki                             |        4.04 |       12.24 |       30.92 |       22.64
DRAM summary                         |             |             |             |            
  num dram accesses                  |    41264714 |           0 |           0 |           0
  average dram access latency (ns)   |      189.53 |         inf |         inf |         inf
  average dram queueing delay        |       79.52 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |      87.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |            
  num loads from dram                |           0 |           0 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0
