                                     | Core 0      | Core 1      | Core 2      | Core 3     
  Instructions                       |   410425206 |   356092639 |   482651107 |   249999973
  Cycles                             |  1466018362 |  1466018279 |  1466018479 |  1466015214
  IPC                                |        0.28 |        0.24 |        0.33 |        0.17
  Time (ns)                          |   488672788 |   488672760 |   488672827 |   488671738
Branch predictor stats               |             |             |             |            
  num correct                        |    24919112 |    28247073 |     4352475 |    40600608
  num incorrect                      |    14996633 |     2309885 |       29090 |     2521753
  misprediction rate                 |      37.57% |       7.56% |       0.66% |       5.85%
  mpki                               |       36.54 |        6.49 |        0.06 |       10.09
TLB Summary                          |             |             |             |            
  I-TLB                              |             |             |             |            
    num accesses                     |    48902233 |    30251659 |    42655632 |    41868591
    num misses                       |          10 |          42 |           3 |           4
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |            
    num accesses                     |   188878573 |    98090407 |   131065809 |    75636447
    num misses                       |     1282468 |      479249 |      232548 |       88470
    miss rate                        |       0.68% |       0.49% |       0.18% |       0.12%
    mpki                             |        3.12 |        1.35 |        0.48 |        0.35
  L2 TLB                             |             |             |             |            
    num accesses                     |     1282478 |      479291 |      232551 |       88474
    num misses                       |     1017026 |      151446 |      232371 |       88474
    miss rate                        |      79.30% |      31.60% |      99.92% |     100.00%
    mpki                             |        2.48 |        0.43 |        0.48 |        0.35
Cache Summary                        |             |             |             |            
  Cache L1-I                         |             |             |             |            
    num cache accesses               |    48902233 |    30251659 |    42655632 |    41868591
    num cache misses                 |       47322 |       88982 |      143688 |       47141
    miss rate                        |       0.10% |       0.29% |       0.34% |       0.11%
    mpki                             |        0.12 |        0.25 |        0.30 |        0.19
  Cache L1-D                         |             |             |             |            
    num cache accesses               |   188878573 |    98090407 |   131065809 |    75636447
    num cache misses                 |     3122906 |     5869701 |    24649587 |     5839509
    miss rate                        |       1.65% |       5.98% |      18.81% |       7.72%
    mpki                             |        7.61 |       16.48 |       51.07 |       23.36
  Cache L2                           |             |             |             |            
    num cache accesses               |     3779730 |     6034510 |    24794022 |     7855501
    num cache misses                 |     2990264 |     5474310 |    15527104 |     5886677
    miss rate                        |      79.11% |      90.72% |      62.62% |      74.94%
    mpki                             |        7.29 |       15.37 |       32.17 |       23.55
  Cache L3                           |             |             |             |            
    num cache accesses               |     3604161 |     5550446 |    15527851 |     7855501
    num cache misses                 |     2967490 |     5465442 |    15373213 |     5883835
    miss rate                        |      82.34% |      98.47% |      99.00% |      74.90%
    mpki                             |        7.23 |       15.35 |       31.85 |       23.54
DRAM summary                         |             |             |             |            
  num dram accesses                  |    44756628 |           0 |           0 |           0
  average dram access latency (ns)   |      182.16 |         inf |         inf |         inf
  average dram queueing delay        |       72.15 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |      91.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |            
  num loads from dram                |           0 |           0 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0
