                                     | Core 0      | Core 1      | Core 2      | Core 3     
  Instructions                       |   521449767 |   369313211 |   482348165 |   249999973
  Cycles                             |  1387084256 |  1387084612 |  1387084400 |  1387081007
  IPC                                |        0.38 |        0.27 |        0.35 |        0.18
  Time (ns)                          |   462361419 |   462361538 |   462361467 |   462360336
Branch predictor stats               |             |             |             |            
  num correct                        |    31690948 |    29256315 |     4349793 |    40600608
  num incorrect                      |    19070435 |     2395577 |       29072 |     2521753
  misprediction rate                 |      37.57% |       7.57% |       0.66% |       5.85%
  mpki                               |       36.57 |        6.49 |        0.06 |       10.09
TLB Summary                          |             |             |             |            
  I-TLB                              |             |             |             |            
    num accesses                     |    62221405 |    31195577 |    42628881 |    41868591
    num misses                       |          10 |          42 |           3 |           4
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |            
    num accesses                     |   239796568 |   101679111 |   130984279 |    75636447
    num misses                       |     1648132 |      496785 |      232406 |       88470
    miss rate                        |       0.69% |       0.49% |       0.18% |       0.12%
    mpki                             |        3.16 |        1.35 |        0.48 |        0.35
  L2 TLB                             |             |             |             |            
    num accesses                     |     1648142 |      496827 |      232409 |       88474
    num misses                       |     1309594 |      156763 |      232229 |       88474
    miss rate                        |      79.46% |      31.55% |      99.92% |     100.00%
    mpki                             |        2.51 |        0.42 |        0.48 |        0.35
Cache Summary                        |             |             |             |            
  Cache L1-I                         |             |             |             |            
    num cache accesses               |    62221405 |    31195577 |    42628881 |    41868591
    num cache misses                 |       18045 |       31377 |       67142 |        1836
    miss rate                        |       0.03% |       0.10% |       0.16% |       0.00%
    mpki                             |        0.03 |        0.08 |        0.14 |        0.01
  Cache L1-D                         |             |             |             |            
    num cache accesses               |   239796568 |   101679111 |   130984279 |    75636447
    num cache misses                 |     3744303 |     5426993 |    24522439 |     5660985
    miss rate                        |       1.56% |       5.34% |      18.72% |       7.48%
    mpki                             |        7.18 |       14.69 |       50.84 |       22.64
  Cache L2                           |             |             |             |            
    num cache accesses               |     4392005 |     5507374 |    24589586 |     7682469
    num cache misses                 |     2839673 |     4653381 |    14985140 |     5662821
    miss rate                        |      64.66% |      84.49% |      60.94% |      73.71%
    mpki                             |        5.45 |       12.60 |       31.07 |       22.65
  Cache L3                           |             |             |             |            
    num cache accesses               |     3598653 |     4705945 |    14985145 |     7682469
    num cache misses                 |     2414061 |     4584549 |    14909803 |     5660203
    miss rate                        |      67.08% |      97.42% |      99.50% |      73.68%
    mpki                             |        4.63 |       12.41 |       30.91 |       22.64
DRAM summary                         |             |             |             |            
  num dram accesses                  |    42195796 |           0 |           0 |           0
  average dram access latency (ns)   |      180.43 |         inf |         inf |         inf
  average dram queueing delay        |       70.42 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |      91.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |            
  num loads from dram                |           0 |           0 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0
