                                     | Core 0      | Core 1      | Core 2      | Core 3     
  Instructions                       |   987977821 |  1258875905 |   823781269 |   249999981
  Cycles                             |  2535219900 |  2535219693 |  2535219636 |  2535216426
  IPC                                |        0.39 |        0.50 |        0.32 |        0.10
  Time (ns)                          |   845073300 |   845073231 |   845073212 |   845072142
Branch predictor stats               |             |             |             |            
  num correct                        |    33165882 |   192094790 |     7473312 |    58565837
  num incorrect                      |    15530331 |    40944604 |       50048 |     6500447
  misprediction rate                 |      31.89% |      17.57% |       0.67% |       9.99%
  mpki                               |       15.72 |       32.52 |        0.06 |       26.00
TLB Summary                          |             |             |             |            
  I-TLB                              |             |             |             |            
    num accesses                     |    77870769 |   173378256 |    72806598 |    21135842
    num misses                       |           3 |         292 |           3 |       17441
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.08%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.07
  D-TLB                              |             |             |             |            
    num accesses                     |   428395694 |   488190408 |   224313321 |    86633855
    num misses                       |      443750 |     2593207 |      400649 |     1331670
    miss rate                        |       0.10% |       0.53% |       0.18% |       1.54%
    mpki                             |        0.45 |        2.06 |        0.49 |        5.33
  L2 TLB                             |             |             |             |            
    num accesses                     |      443753 |     2593499 |      400652 |     1349111
    num misses                       |      302303 |      254333 |      400351 |     1140467
    miss rate                        |      68.12% |       9.81% |      99.92% |      84.53%
    mpki                             |        0.31 |        0.20 |        0.49 |        4.56
Cache Summary                        |             |             |             |            
  Cache L1-I                         |             |             |             |            
    num cache accesses               |    77870769 |   173378256 |    72806598 |    21135842
    num cache misses                 |       53509 |    10019247 |      233887 |      361769
    miss rate                        |       0.07% |       5.78% |       0.32% |       1.71%
    mpki                             |        0.05 |        7.96 |        0.28 |        1.45
  Cache L1-D                         |             |             |             |            
    num cache accesses               |   428395694 |   488190408 |   224313321 |    86633855
    num cache misses                 |    21815024 |    11560389 |    42283836 |     7421674
    miss rate                        |       5.09% |       2.37% |      18.85% |       8.57%
    mpki                             |       22.08 |        9.18 |       51.33 |       29.69
  Cache L2                           |             |             |             |            
    num cache accesses               |    23399341 |    22189802 |    42517731 |     7803583
    num cache misses                 |    19418934 |    10990191 |    25876980 |     7395243
    miss rate                        |      82.99% |      49.53% |      60.86% |      94.77%
    mpki                             |       19.66 |        8.73 |       31.41 |       29.58
  Cache L3                           |             |             |             |            
    num cache accesses               |    20949742 |    11603350 |    25876988 |     7416264
    num cache misses                 |    19346765 |     3559009 |    25613930 |     7301965
    miss rate                        |      92.35% |      30.67% |      98.98% |      98.46%
    mpki                             |       19.58 |        2.83 |       31.09 |       29.21
DRAM summary                         |             |             |             |            
  num dram accesses                  |    77949237 |           0 |           0 |           0
  average dram access latency (ns)   |      194.45 |         inf |         inf |         inf
  average dram queueing delay        |       84.44 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |      92.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |            
  num loads from dram                |           0 |           0 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0
