                                     | Core 0      | Core 1      | Core 2      | Core 3     
  Instructions                       |  1056134919 |   958747900 |   831707143 |   249999981
  Cycles                             |  3106417511 |  3106417442 |  3106417373 |  3106414301
  IPC                                |        0.34 |        0.31 |        0.27 |        0.08
  Time (ns)                          |  1035472504 |  1035472481 |  1035472458 |  1035471434
Branch predictor stats               |             |             |             |            
  num correct                        |    34945526 |   144689838 |     7544096 |    58565837
  num incorrect                      |    16425879 |    31991558 |       50522 |     6500447
  misprediction rate                 |      31.97% |      18.11% |       0.67% |       9.99%
  mpki                               |       15.55 |       33.37 |        0.06 |       26.00
TLB Summary                          |             |             |             |            
  I-TLB                              |             |             |             |            
    num accesses                     |    82528088 |   133037659 |    73506942 |    21135842
    num misses                       |           3 |         240 |           3 |       17441
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.08%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.07
  D-TLB                              |             |             |             |            
    num accesses                     |   461286674 |   372817340 |   226455878 |    86633855
    num misses                       |      477014 |     1976375 |      404409 |     1331641
    miss rate                        |       0.10% |       0.53% |       0.18% |       1.54%
    mpki                             |        0.45 |        2.06 |        0.49 |        5.33
  L2 TLB                             |             |             |             |            
    num accesses                     |      477017 |     1976615 |      404412 |     1349082
    num misses                       |      323573 |      167893 |      404107 |     1140456
    miss rate                        |      67.83% |       8.49% |      99.92% |      84.54%
    mpki                             |        0.31 |        0.18 |        0.49 |        4.56
Cache Summary                        |             |             |             |            
  Cache L1-I                         |             |             |             |            
    num cache accesses               |    82528088 |   133037659 |    73506942 |    21135842
    num cache misses                 |      113050 |     8457284 |      429596 |      603806
    miss rate                        |       0.14% |       6.36% |       0.58% |       2.86%
    mpki                             |        0.11 |        8.82 |        0.52 |        2.42
  Cache L1-D                         |             |             |             |            
    num cache accesses               |   461286674 |   372817340 |   226455878 |    86633855
    num cache misses                 |    23444596 |     7632777 |    42784743 |     7678825
    miss rate                        |       5.08% |       2.05% |      18.89% |       8.86%
    mpki                             |       22.20 |        7.96 |       51.44 |       30.72
  Cache L2                           |             |             |             |            
    num cache accesses               |    25181859 |    16653118 |    43230307 |     8380625
    num cache misses                 |    21249916 |     8133228 |    29094646 |     8129510
    miss rate                        |      84.39% |      48.84% |      67.30% |      97.00%
    mpki                             |       20.12 |        8.48 |       34.98 |       32.52
  Cache L3                           |             |             |             |            
    num cache accesses               |    22874131 |     8697928 |    29110614 |     8229230
    num cache misses                 |    21237555 |     8089541 |    28955644 |     8119723
    miss rate                        |      92.85% |      93.01% |      99.47% |      98.67%
    mpki                             |       20.11 |        8.44 |       34.81 |       32.48
DRAM summary                         |             |             |             |            
  num dram accesses                  |    95851288 |           0 |           0 |           0
  average dram access latency (ns)   |      218.05 |         inf |         inf |         inf
  average dram queueing delay        |      108.04 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |      92.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |            
  num loads from dram                |           0 |           0 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0
