                                     | Core 0      | Core 1      | Core 2      | Core 3     
  Instructions                       |   992072280 |  1215891920 |   791898389 |   249999981
  Cycles                             |  2857008603 |  2857008991 |  2857008745 |  2857005239
  IPC                                |        0.35 |        0.43 |        0.28 |        0.09
  Time (ns)                          |   952336201 |   952336331 |   952336249 |   952335080
Branch predictor stats               |             |             |             |            
  num correct                        |    33558156 |   183995393 |     7187986 |    58565837
  num incorrect                      |    15689690 |    40336525 |       48148 |     6500447
  misprediction rate                 |      31.86% |      17.98% |       0.67% |       9.99%
  mpki                               |       15.82 |       33.17 |        0.06 |       26.00
TLB Summary                          |             |             |             |            
  I-TLB                              |             |             |             |            
    num accesses                     |    78028922 |   168799044 |    69988930 |    21135842
    num misses                       |           3 |         280 |           3 |       17441
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.08%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.07
  D-TLB                              |             |             |             |            
    num accesses                     |   429186545 |   472264349 |   215685284 |    86633855
    num misses                       |      444545 |     2511992 |      385474 |     1331607
    miss rate                        |       0.10% |       0.53% |       0.18% |       1.54%
    mpki                             |        0.45 |        2.07 |        0.49 |        5.33
  L2 TLB                             |             |             |             |            
    num accesses                     |      444548 |     2512272 |      385477 |     1349048
    num misses                       |      303835 |      230521 |      385188 |     1140458
    miss rate                        |      68.35% |       9.18% |      99.93% |      84.54%
    mpki                             |        0.31 |        0.19 |        0.49 |        4.56
Cache Summary                        |             |             |             |            
  Cache L1-I                         |             |             |             |            
    num cache accesses               |    78028922 |   168799044 |    69988930 |    21135842
    num cache misses                 |      118418 |    10185292 |      404565 |      502931
    miss rate                        |       0.15% |       6.03% |       0.58% |       2.38%
    mpki                             |        0.12 |        8.38 |        0.51 |        2.01
  Cache L1-D                         |             |             |             |            
    num cache accesses               |   429186545 |   472264349 |   215685284 |    86633855
    num cache misses                 |    22793693 |     9985657 |    40754454 |     7598222
    miss rate                        |       5.31% |       2.11% |      18.90% |       8.77%
    mpki                             |       22.98 |        8.21 |       51.46 |       30.39
  Cache L2                           |             |             |             |            
    num cache accesses               |    24466479 |    20842168 |    41170455 |     8160305
    num cache misses                 |    20643041 |     9947617 |    29321273 |     7815816
    miss rate                        |      84.37% |      47.73% |      71.22% |      95.78%
    mpki                             |       20.81 |        8.18 |       37.03 |       31.26
  Cache L3                           |             |             |             |            
    num cache accesses               |    22197409 |    10623113 |    29332709 |     7875740
    num cache misses                 |    20594141 |     4425136 |    29108533 |     7794337
    miss rate                        |      92.78% |      41.66% |      99.24% |      98.97%
    mpki                             |       20.76 |        3.64 |       36.76 |       31.18
DRAM summary                         |             |             |             |            
  num dram accesses                  |    88077349 |           0 |           0 |           0
  average dram access latency (ns)   |      204.61 |         inf |         inf |         inf
  average dram queueing delay        |       94.60 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |      92.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |            
  num loads from dram                |           0 |           0 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0
