                                     | Core 0      | Core 1      | Core 2      | Core 3     
  Instructions                       |   963634375 |  1218535453 |   776622197 |   249999981
  Cycles                             |  2482996898 |  2482997286 |  2482997683 |  2482994036
  IPC                                |        0.39 |        0.49 |        0.31 |        0.10
  Time (ns)                          |   827665633 |   827665762 |   827665895 |   827664679
Branch predictor stats               |             |             |             |            
  num correct                        |    30776157 |   184452534 |     7051515 |    58565837
  num incorrect                      |    14559500 |    40414681 |       47236 |     6500447
  misprediction rate                 |      32.11% |      17.97% |       0.67% |       9.99%
  mpki                               |       15.11 |       33.17 |        0.06 |       26.00
TLB Summary                          |             |             |             |            
  I-TLB                              |             |             |             |            
    num accesses                     |    76714600 |   169277831 |    68639063 |    21135842
    num misses                       |           3 |         281 |           3 |       17441
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.08%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.07
  D-TLB                              |             |             |             |            
    num accesses                     |   423910187 |   473162790 |   211555071 |    86633855
    num misses                       |      436811 |     2521029 |      378225 |     1331659
    miss rate                        |       0.10% |       0.53% |       0.18% |       1.54%
    mpki                             |        0.45 |        2.07 |        0.49 |        5.33
  L2 TLB                             |             |             |             |            
    num accesses                     |      436814 |     2521310 |      378228 |     1349100
    num misses                       |      295190 |      237878 |      377943 |     1140461
    miss rate                        |      67.58% |       9.43% |      99.92% |      84.53%
    mpki                             |        0.31 |        0.20 |        0.49 |        4.56
Cache Summary                        |             |             |             |            
  Cache L1-I                         |             |             |             |            
    num cache accesses               |    76714600 |   169277831 |    68639063 |    21135842
    num cache misses                 |       50858 |     9939622 |      149921 |      369620
    miss rate                        |       0.07% |       5.87% |       0.22% |       1.75%
    mpki                             |        0.05 |        8.16 |        0.19 |        1.48
  Cache L1-D                         |             |             |             |            
    num cache accesses               |   423910187 |   473162790 |   211555071 |    86633855
    num cache misses                 |    21369794 |     9930780 |    39911555 |     7434953
    miss rate                        |       5.04% |       2.10% |      18.87% |       8.58%
    mpki                             |       22.18 |        8.15 |       51.39 |       29.74
  Cache L2                           |             |             |             |            
    num cache accesses               |    22931713 |    20386936 |    40064561 |     7829931
    num cache misses                 |    19051746 |     7639572 |    25253441 |     7413533
    miss rate                        |      83.08% |      37.47% |      63.03% |      94.68%
    mpki                             |       19.77 |        6.27 |       32.52 |       29.65
  Cache L3                           |             |             |             |            
    num cache accesses               |    20562807 |     8160196 |    25256526 |     7439885
    num cache misses                 |    19017547 |     3337260 |    25030262 |     7146093
    miss rate                        |      92.49% |      40.90% |      99.10% |      96.05%
    mpki                             |       19.74 |        2.74 |       32.23 |       28.58
DRAM summary                         |             |             |             |            
  num dram accesses                  |    76241703 |           0 |           0 |           0
  average dram access latency (ns)   |      193.66 |         inf |         inf |         inf
  average dram queueing delay        |       83.65 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |      92.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |            
  num loads from dram                |           0 |           0 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0
