                                     | Core 0      | Core 1      | Core 2      | Core 3     
  Instructions                       |   959704383 |  1325178017 |   785139919 |   249999981
  Cycles                             |  2436474478 |  2436474303 |  2436474300 |  2436471037
  IPC                                |        0.39 |        0.54 |        0.32 |        0.10
  Time (ns)                          |   812158160 |   812158101 |   812158100 |   812157013
Branch predictor stats               |             |             |             |            
  num correct                        |    30602696 |   201646721 |     7127538 |    58565837
  num incorrect                      |    14489032 |    43365561 |       47744 |     6500447
  misprediction rate                 |      32.13% |      17.70% |       0.67% |       9.99%
  mpki                               |       15.10 |       32.72 |        0.06 |       26.00
TLB Summary                          |             |             |             |            
  I-TLB                              |             |             |             |            
    num accesses                     |    76331894 |   182933432 |    69391669 |    21135842
    num misses                       |           3 |         292 |           3 |       17441
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.08%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.07
  D-TLB                              |             |             |             |            
    num accesses                     |   422755565 |   514374070 |   213856867 |    86633855
    num misses                       |      435009 |     2735078 |      382260 |     1331670
    miss rate                        |       0.10% |       0.53% |       0.18% |       1.54%
    mpki                             |        0.45 |        2.06 |        0.49 |        5.33
  L2 TLB                             |             |             |             |            
    num accesses                     |      435012 |     2735370 |      382263 |     1349111
    num misses                       |      293836 |      259600 |      381976 |     1140462
    miss rate                        |      67.55% |       9.49% |      99.92% |      84.53%
    mpki                             |        0.31 |        0.20 |        0.49 |        4.56
Cache Summary                        |             |             |             |            
  Cache L1-I                         |             |             |             |            
    num cache accesses               |    76331894 |   182933432 |    69391669 |    21135842
    num cache misses                 |       63812 |    10573687 |      237877 |      365682
    miss rate                        |       0.08% |       5.78% |       0.34% |       1.73%
    mpki                             |        0.07 |        7.98 |        0.30 |        1.46
  Cache L1-D                         |             |             |             |            
    num cache accesses               |   422755565 |   514374070 |   213856867 |    86633855
    num cache misses                 |    21281408 |    11599410 |    40347448 |     7423428
    miss rate                        |       5.03% |       2.26% |      18.87% |       8.57%
    mpki                             |       22.17 |        8.75 |       51.39 |       29.69
  Cache L2                           |             |             |             |            
    num cache accesses               |    22807309 |    22693069 |    40587426 |     7807967
    num cache misses                 |    18901664 |    10819484 |    24776947 |     7402223
    miss rate                        |      82.88% |      47.68% |      61.05% |      94.80%
    mpki                             |       19.70 |        8.16 |       31.56 |       29.61
  Cache L3                           |             |             |             |            
    num cache accesses               |    20363753 |    11342179 |    24779048 |     7421902
    num cache misses                 |    18832679 |     3137548 |    24527579 |     7024840
    miss rate                        |      92.48% |      27.66% |      98.99% |      94.65%
    mpki                             |       19.62 |        2.37 |       31.24 |       28.10
DRAM summary                         |             |             |             |            
  num dram accesses                  |    74674476 |           0 |           0 |           0
  average dram access latency (ns)   |      195.53 |         inf |         inf |         inf
  average dram queueing delay        |       85.52 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |      92.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |            
  num loads from dram                |           0 |           0 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0
