                                     | Core 0       | Core 1       | Core 2       | Core 3       | Core 4       | Core 5       | Core 6       | Core 7       | Core 8       | Core 9       | Core 10      | Core 11      | Core 12      | Core 13      | Core 14      | Core 15     
  Instructions                       |   2071291710 |  21231518071 |   7401146430 |   3366615204 |   2246040132 |    249999989 |  16342877968 |   3593022937 |    892317432 |   1338073028 |   5008467330 |    847545525 |   3468094971 |   1315272291 |   4299457094 |   2215868023
  Cycles                             |  10627897296 |  10627896246 |  10627896326 |  10627896602 |  10627896333 |  10627877022 |  10627896300 |  10627897700 |  10627896300 |  10627896320 |  10627896596 |  10627897238 |  10627897560 |  10627897009 |  10627897359 |  10627897678
  IPC                                |         0.19 |         2.00 |         0.70 |         0.32 |         0.21 |         0.02 |         1.54 |         0.34 |         0.08 |         0.13 |         0.47 |         0.08 |         0.33 |         0.12 |         0.40 |         0.21
  Time (ns)                          |   3542632432 |   3542632082 |   3542632109 |   3542632201 |   3542632111 |   3542625674 |   3542632100 |   3542632567 |   3542632100 |   3542632107 |   3542632199 |   3542632413 |   3542632520 |   3542632336 |   3542632453 |   3542632559
Branch predictor stats               |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |             
  num correct                        |     69246065 |    977739823 |   1131596756 |     77002507 |    136548375 |     43244780 |   3016086109 |     68034247 |    145955612 |    106032505 |    542933717 |    116596345 |    527863614 |     25876605 |      5606244 |    136977756
  num incorrect                      |     32463773 |      8138490 |    289972776 |      1371384 |     82167152 |     11689069 |    205753562 |     10305865 |      9114583 |      8672568 |     82730650 |     16006094 |    113512657 |     35500514 |        95008 |      4740668
  misprediction rate                 |       31.92% |        0.83% |       20.40% |        1.75% |       37.57% |       21.28% |        6.39% |       13.16% |        5.88% |        7.56% |       13.22% |       12.07% |       17.70% |       57.84% |        1.67% |        3.35%
  mpki                               |        15.67 |         0.38 |        39.18 |         0.41 |        36.58 |        46.76 |        12.59 |         2.87 |        10.21 |         6.48 |        16.52 |        18.89 |        32.73 |        26.99 |         0.02 |         2.14
TLB Summary                          |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |             
  I-TLB                              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |             
    num accesses                     |    161990510 |   1624320604 |    962891279 |    301544020 |    268116731 |     23761816 |   2679820665 |    342363279 |    149211771 |    112508858 |    590017449 |    148535995 |    478997760 |    146253768 |    492470284 |    210637827
    num misses                       |            3 |           43 |           19 |            4 |           10 |            3 |           39 |          114 |            4 |           42 |           10 |          101 |          622 |           14 |            6 |           22
    miss rate                        |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00%
    mpki                             |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00
  D-TLB                              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |             
    num accesses                     |    900658739 |  12217304221 |   2491347082 |   1325158875 |   1032526714 |     88558906 |   5326114808 |   1821708288 |    271706427 |    368196880 |   2251894025 |    394940681 |   1345351453 |    495172963 |   3216258252 |    736279702
    num misses                       |       930812 |      1648508 |     11023789 |       697522 |      7106781 |     21159796 |           23 |      4101265 |       319724 |      1798910 |     22444775 |     15388706 |      7148750 |      3504603 |    116068617 |      5935786
    miss rate                        |        0.10% |        0.01% |        0.44% |        0.05% |        0.69% |       23.89% |        0.00% |        0.23% |        0.12% |        0.49% |        1.00% |        3.90% |        0.53% |        0.71% |        3.61% |        0.81%
    mpki                             |         0.45 |         0.08 |         1.49 |         0.21 |         3.16 |        84.64 |         0.00 |         1.14 |         0.36 |         1.34 |         4.48 |        18.16 |         2.06 |         2.66 |        27.00 |         2.68
  L2 TLB                             |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |             
    num accesses                     |       930815 |      1648551 |     11023808 |       697526 |      7106791 |     21159799 |           62 |      4101379 |       319728 |      1798952 |     22444785 |     15388807 |      7149372 |      3504617 |    116068623 |      5935808
    num misses                       |       634845 |       470874 |      2308983 |       369310 |      5651615 |     10898581 |           62 |        56439 |       319728 |       561462 |      1980307 |      4617758 |       691546 |      3504574 |     82776026 |       585627
    miss rate                        |       68.20% |       28.56% |       20.95% |       52.95% |       79.52% |       51.51% |      100.00% |        1.38% |      100.00% |       31.21% |        8.82% |       30.01% |        9.67% |      100.00% |       71.32% |        9.87%
    mpki                             |         0.31 |         0.02 |         0.31 |         0.11 |         2.52 |        43.59 |         0.00 |         0.02 |         0.36 |         0.42 |         0.40 |         5.45 |         0.20 |         2.66 |        19.25 |         0.26
Cache Summary                        |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |             
  Cache L1-I                         |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |             
    num cache accesses               |    161990510 |   1624320604 |    962891279 |    301544020 |    268116731 |     23761816 |   2679820665 |    342363279 |    149211771 |    112508858 |    590017449 |    148535995 |    478997760 |    146253768 |    492470284 |    210637827
    num cache misses                 |        69455 |       779497 |      3755623 |       121042 |        77162 |        68562 |     26256672 |       145452 |         8674 |       124402 |       128402 |      1912981 |     27397180 |        31076 |       567694 |       351433
    miss rate                        |        0.04% |        0.05% |        0.39% |        0.04% |        0.03% |        0.29% |        0.98% |        0.04% |        0.01% |        0.11% |        0.02% |        1.29% |        5.72% |        0.02% |        0.12% |        0.17%
    mpki                             |         0.03 |         0.04 |         0.51 |         0.04 |         0.03 |         0.27 |         1.61 |         0.04 |         0.01 |         0.09 |         0.03 |         2.26 |         7.90 |         0.02 |         0.13 |         0.16
  Cache L1-D                         |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |             
    num cache accesses               |    900658739 |  12217304221 |   2491347082 |   1325158875 |   1032526714 |     88558906 |   5326114808 |   1821708288 |    271706427 |    368196880 |   2251894025 |    394940681 |   1345351453 |    495172963 |   3216258252 |    736279702
    num cache misses                 |     45805262 |    110083091 |      9700350 |     34016967 |     16062116 |     28806437 |       526573 |     28504762 |     20459091 |     19662008 |     71977678 |     22085332 |     30337536 |     38691550 |     35176057 |     42170832
    miss rate                        |        5.09% |        0.90% |        0.39% |        2.57% |        1.56% |       32.53% |        0.01% |        1.56% |        7.53% |        5.34% |        3.20% |        5.59% |        2.25% |        7.81% |        1.09% |        5.73%
    mpki                             |        22.11 |         5.18 |         1.31 |        10.10 |         7.15 |       115.23 |         0.03 |         7.93 |        22.93 |        14.69 |        14.37 |        26.06 |         8.75 |        29.42 |         8.18 |        19.03
  Cache L2                           |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |             
    num cache accesses               |     49061754 |    110869157 |     15615219 |     34194283 |     18789197 |     32740975 |     26878317 |     31664631 |     27697879 |     19985390 |     72987377 |     29020133 |     59313333 |     43912676 |     35777544 |     45675508
    num cache misses                 |     40722053 |     59117853 |      4396805 |     23524840 |     12512654 |     20933690 |      1863772 |      9462550 |     20467765 |     17026056 |     29247161 |     18475159 |     22331657 |     38722305 |     23852815 |     12762533
    miss rate                        |       83.00% |       53.32% |       28.16% |       68.80% |       66.59% |       63.94% |        6.93% |       29.88% |       73.90% |       85.19% |       40.07% |       63.66% |       37.65% |       88.18% |       66.67% |       27.94%
    mpki                             |        19.66 |         2.78 |         0.59 |         6.99 |         5.57 |        83.73 |         0.11 |         2.63 |        22.94 |        12.72 |         5.84 |        21.80 |         6.44 |        29.44 |         5.55 |         5.76
  Cache L3                           |              |              |              |              |              |              |              |              |              |              |              |              |              |              |              |             
    num cache accesses               |     43909090 |     59125266 |      6605480 |     23601143 |     15679125 |     24869833 |      1958844 |     12484641 |     27697879 |     17228969 |     30307206 |     23518402 |     23916813 |     43912355 |     23887311 |     15957123
    num cache misses                 |     40637213 |      2174846 |      4253079 |     23385827 |      9905070 |     19424378 |      1837980 |      8835705 |     20453638 |     16353143 |     12844767 |     16764902 |      8900548 |     38694650 |     23083916 |     12402349
    miss rate                        |       92.55% |        3.68% |       64.39% |       99.09% |       63.17% |       78.10% |       93.83% |       70.77% |       73.85% |       94.92% |       42.38% |       71.28% |       37.21% |       88.12% |       96.64% |       77.72%
    mpki                             |        19.62 |         0.10 |         0.57 |         6.95 |         4.41 |        77.70 |         0.11 |         2.46 |        22.92 |        12.22 |         2.56 |        19.78 |         2.57 |        29.42 |         5.37 |         5.60
