                                     | Core 0      | Core 1      | Core 2      | Core 3     
  Instructions                       |   521418466 |   249999980 |  7326181221 |   356683442
  Cycles                             |  4605380896 |  4605378652 |  4605380442 |  4605385241
  IPC                                |        0.11 |        0.05 |        1.59 |        0.08
  Time (ns)                          |  1535126966 |  1535126218 |  1535126814 |  1535128414
Branch predictor stats               |             |             |             |            
  num correct                        |    17368116 |    42338506 |  1352051046 |     6908760
  num incorrect                      |     8149981 |     3913322 |    92235648 |     9559431
  misprediction rate                 |      31.94% |       8.46% |       6.39% |      58.05%
  mpki                               |       15.63 |       15.65 |       12.59 |       26.80
TLB Summary                          |             |             |             |            
  I-TLB                              |             |             |             |            
    num accesses                     |    40766623 |    28960848 |  1201310772 |    39714496
    num misses                       |           3 |          42 |          39 |          14
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |            
    num accesses                     |   227087566 |    86565665 |  2387593653 |   132862409
    num misses                       |      234768 |     1461944 |          23 |      952294
    miss rate                        |       0.10% |       1.69% |       0.00% |       0.72%
    mpki                             |        0.45 |        5.85 |        0.00 |        2.67
  L2 TLB                             |             |             |             |            
    num accesses                     |      234771 |     1461986 |          62 |      952308
    num misses                       |      159803 |      397380 |          62 |      952297
    miss rate                        |      68.07% |      27.18% |     100.00% |     100.00%
    mpki                             |        0.31 |        1.59 |        0.00 |        2.67
Cache Summary                        |             |             |             |            
  Cache L1-I                         |             |             |             |            
    num cache accesses               |    40766623 |    28960848 |  1201310772 |    39714496
    num cache misses                 |       28375 |       21258 |    11340308 |       16108
    miss rate                        |       0.07% |       0.07% |       0.94% |       0.04%
    mpki                             |        0.05 |        0.09 |        1.55 |        0.05
  Cache L1-D                         |             |             |             |            
    num cache accesses               |   227087566 |    86565665 |  2387593653 |   132862409
    num cache misses                 |    11537911 |    10101067 |       90972 |    10287112
    miss rate                        |       5.08% |      11.67% |       0.00% |       7.74%
    mpki                             |       22.13 |       40.40 |        0.01 |       28.84
  Cache L2                           |             |             |             |            
    num cache accesses               |    12362504 |    11317581 |    11444036 |    11713038
    num cache misses                 |    10265253 |     8249633 |      268036 |    10303136
    miss rate                        |      83.04% |      72.89% |       2.34% |      87.96%
    mpki                             |       19.69 |       33.00 |        0.04 |       28.89
  Cache L3                           |             |             |             |            
    num cache accesses               |    11061471 |     9445710 |      280792 |    11712954
    num cache misses                 |    10226763 |     6233925 |      267703 |    10286792
    miss rate                        |      92.45% |      66.00% |      95.34% |      87.82%
    mpki                             |       19.61 |       24.94 |        0.04 |       28.84
DRAM summary                         |             |             |             |            
  num dram accesses                  |    34728020 |           0 |           0 |           0
  average dram access latency (ns)   |      742.31 |         inf |         inf |         inf
  average dram queueing delay        |      602.28 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |      90.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |            
  num loads from dram                |           0 |           0 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0
