                                     | Core 0     | Core 1     | Core 2      | Core 3    
  Instructions                       |  433196294 |  249999980 |  1432166505 |  276398464
  Cycles                             |  970376155 |  970373746 |   970376143 |  970376109
  IPC                                |       0.45 |       0.26 |        1.48 |       0.28
  Time (ns)                          |  323458719 |  323457916 |   323458715 |  323458703
Branch predictor stats               |            |            |             |           
  num correct                        |   12334249 |   42338506 |   264307648 |    5545612
  num incorrect                      |    6039122 |    3913322 |    18031257 |    7817120
  misprediction rate                 |     32.87% |      8.46% |       6.39% |     58.50%
  mpki                               |      13.94 |      15.65 |       12.59 |      28.28
TLB Summary                          |            |            |             |           
  I-TLB                              |            |            |             |           
    num accesses                     |   34471112 |   28960848 |   234841014 |   31204901
    num misses                       |          3 |         42 |          39 |         14
    miss rate                        |      0.00% |      0.00% |       0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |        0.00 |       0.00
  D-TLB                              |            |            |             |           
    num accesses                     |  199654666 |   86565665 |   466745336 |  104747742
    num misses                       |     201134 |    1461653 |          23 |     719329
    miss rate                        |      0.10% |      1.69% |       0.00% |      0.69%
    mpki                             |       0.46 |       5.85 |        0.00 |       2.60
  L2 TLB                             |            |            |             |           
    num accesses                     |     201137 |    1461695 |          62 |     719343
    num misses                       |     131446 |     397293 |          62 |     719335
    miss rate                        |     65.35% |     27.18% |     100.00% |    100.00%
    mpki                             |       0.30 |       1.59 |        0.00 |       2.60
Cache Summary                        |            |            |             |           
  Cache L1-I                         |            |            |             |           
    num cache accesses               |   34471112 |   28960848 |   234841014 |   31204901
    num cache misses                 |      74066 |      33053 |     2603169 |      46250
    miss rate                        |      0.21% |      0.11% |       1.11% |      0.15%
    mpki                             |       0.17 |       0.13 |        1.82 |       0.17
  Cache L1-D                         |            |            |             |           
    num cache accesses               |  199654666 |   86565665 |   466745336 |  104747742
    num cache misses                 |    9817666 |   10089481 |      181717 |    8011238
    miss rate                        |      4.92% |     11.66% |       0.04% |      7.65%
    mpki                             |      22.66 |      40.36 |        0.13 |      28.98
  Cache L2                           |            |            |             |           
    num cache accesses               |   10303509 |   10931012 |     2820076 |    9352656
    num cache misses                 |    8766918 |    8938805 |      592753 |    8057489
    miss rate                        |     85.09% |     81.77% |      21.02% |     86.15%
    mpki                             |      20.24 |      35.76 |        0.41 |      29.15
  Cache L3                           |            |            |             |           
    num cache accesses               |    9178695 |    9747608 |      627947 |    9352655
    num cache misses                 |    8648492 |    4798792 |      566266 |    8040600
    miss rate                        |     94.22% |     49.23% |      90.18% |     85.97%
    mpki                             |      19.96 |      19.20 |        0.40 |      29.09
DRAM summary                         |            |            |             |           
  num dram accesses                  |   28016583 |          0 |           0 |          0
  average dram access latency (ns)   |     173.06 |        inf |         inf |        inf
  average dram queueing delay        |      63.05 |       0.00 |        0.00 |       0.00
  average dram bandwidth utilization |     86.00% |      0.00% |       0.00% |      0.00%
Coherency Traffic                    |            |            |             |           
  num loads from dram                |          0 |          0 |           0 |          0
  num loads from dram cache          |          0 |          0 |           0 |          0
  num loads from remote cache        |          0 |          0 |           0 |          0
