                                     | Core 0     | Core 1     | Core 2      | Core 3    
  Instructions                       |  373993812 |  249999980 |  1707315751 |  252236274
  Cycles                             |  898359167 |  898357706 |   898358732 |  898359127
  IPC                                |       0.42 |       0.28 |        1.90 |       0.28
  Time (ns)                          |  299453056 |  299452569 |   299452911 |  299453043
Branch predictor stats               |            |            |             |           
  num correct                        |   10467105 |   42338506 |   315086376 |    4915294
  num incorrect                      |    5147599 |    3913322 |    21495133 |    6766590
  misprediction rate                 |     32.97% |      8.46% |       6.39% |     57.92%
  mpki                               |      13.76 |      15.65 |       12.59 |      26.83
TLB Summary                          |            |            |             |           
  I-TLB                              |            |            |             |           
    num accesses                     |   28858363 |   28960848 |   279958649 |   27843208
    num misses                       |          3 |         42 |          39 |         14
    miss rate                        |      0.00% |      0.00% |       0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |        0.00 |       0.00
  D-TLB                              |            |            |             |           
    num accesses                     |  174126891 |   86565665 |   556414816 |   94557605
    num misses                       |     174460 |    1461505 |          23 |     666803
    miss rate                        |      0.10% |      1.69% |       0.00% |      0.71%
    mpki                             |       0.47 |       5.85 |        0.00 |       2.64
  L2 TLB                             |            |            |             |           
    num accesses                     |     174463 |    1461547 |          62 |     666817
    num misses                       |     113859 |     397248 |          62 |     666809
    miss rate                        |     65.26% |     27.18% |     100.00% |    100.00%
    mpki                             |       0.30 |       1.59 |        0.00 |       2.64
Cache Summary                        |            |            |             |           
  Cache L1-I                         |            |            |             |           
    num cache accesses               |   28858363 |   28960848 |   279958649 |   27843208
    num cache misses                 |     106782 |      32426 |     2649025 |      20002
    miss rate                        |      0.37% |      0.11% |       0.95% |      0.07%
    mpki                             |       0.29 |       0.13 |        1.55 |       0.08
  Cache L1-D                         |            |            |             |           
    num cache accesses               |  174126891 |   86565665 |   556414816 |   94557605
    num cache misses                 |    8579145 |   10079620 |       24592 |    7357617
    miss rate                        |      4.93% |     11.64% |       0.00% |      7.78%
    mpki                             |      22.94 |      40.32 |        0.01 |      29.17
  Cache L2                           |            |            |             |           
    num cache accesses               |    9097891 |   10814538 |     2676920 |    8352126
    num cache misses                 |    7698469 |    8924654 |       77808 |    7377619
    miss rate                        |     84.62% |     82.52% |       2.91% |     88.33%
    mpki                             |      20.58 |      35.70 |        0.05 |      29.25
  Cache L3                           |            |            |             |           
    num cache accesses               |    8110433 |    9627456 |       81116 |    8352126
    num cache misses                 |    7550949 |    4429797 |       72705 |    7359481
    miss rate                        |     93.10% |     46.01% |      89.63% |     88.12%
    mpki                             |      20.19 |      17.72 |        0.04 |      29.18
DRAM summary                         |            |            |             |           
  num dram accesses                  |   24790608 |          0 |           0 |          0
  average dram access latency (ns)   |     180.02 |        inf |         inf |        inf
  average dram queueing delay        |      70.01 |       0.00 |        0.00 |       0.00
  average dram bandwidth utilization |     82.00% |      0.00% |       0.00% |      0.00%
Coherency Traffic                    |            |            |             |           
  num loads from dram                |          0 |          0 |           0 |          0
  num loads from dram cache          |          0 |          0 |           0 |          0
  num loads from remote cache        |          0 |          0 |           0 |          0
