                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7      | Core 8      | Core 9      | Core 10     | Core 11     | Core 12     | Core 13     | Core 14     | Core 15    
  Instructions                       |  8015913464 |  3317661491 |   880304710 |   419395643 |  1180248971 |  2652899513 |  4117153013 |  1864338072 |  1789098538 |   249999981 |  1996204847 |   707138377 |  9996396066 |  1821765083 |   903852539 |   925524119
  Cycles                             |  5826222393 |  5826222600 |  5826223560 |  5826222781 |  5826223461 |  5826223231 |  5826222416 |  5826222569 |  5826222855 |  5826218649 |  5826222691 |  5826222635 |  5826222445 |  5826224250 |  5826223000 |  5826223281
  IPC                                |        1.38 |        0.57 |        0.15 |        0.07 |        0.20 |        0.46 |        0.71 |        0.32 |        0.31 |        0.04 |        0.34 |        0.12 |        1.72 |        0.31 |        0.16 |        0.16
  Time (ns)                          |  1942074131 |  1942074200 |  1942074520 |  1942074261 |  1942074487 |  1942074411 |  1942074139 |  1942074190 |  1942074285 |  1942072883 |  1942074231 |  1942074212 |  1942074149 |  1942074750 |  1942074334 |  1942074427
Branch predictor stats               |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num correct                        |   868554904 |   179521725 |    53483438 |    57690486 |    63018196 |   176980694 |   530538471 |   149960314 |    41087354 |    58565837 |    88182776 |    13339969 |   460344940 |   336208702 |     8189552 |   139882959
  num incorrect                      |   132358602 |   125688872 |    32184517 |     7939372 |     1474311 |    30291012 |   123783035 |    25173984 |      732177 |     6500447 |     5003385 |    18220166 |     3831555 |    22936504 |       54824 |    30783053
  misprediction rate                 |      13.22% |      41.18% |      37.57% |      12.10% |       2.29% |      14.61% |      18.92% |      14.37% |       1.75% |       9.99% |       5.37% |      57.73% |       0.83% |       6.39% |       0.66% |      18.04%
  mpki                               |       16.51 |       37.88 |       36.56 |       18.93 |        1.25 |       11.42 |       30.07 |       13.50 |        0.41 |       26.00 |        2.51 |       25.77 |        0.38 |       12.59 |        0.06 |       33.26
TLB Summary                          |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |   944062340 |   270755460 |   105008220 |    73448104 |   117891205 |   321788887 |   577298227 |   273121885 |   159928683 |    21135842 |   190092958 |    76652850 |   764772729 |   298726472 |    79882685 |   128163457
    num misses                       |          10 |          52 |          10 |          92 |          47 |          18 |         278 |          65 |           4 |       17441 |           8 |          14 |          43 |          39 |           3 |         237
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.08% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.07 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |  3602925865 |   978990409 |   404982851 |   195418944 |   412170387 |  1118129904 |  1607584880 |   893842996 |   701679981 |    86633855 |   606742452 |   261265608 |  5752256031 |   593717521 |   245976626 |   359811681
    num misses                       |    36196896 |       58760 |     2766492 |     7610728 |      629717 |     7894404 |     2882929 |     4990515 |      370633 |     1331651 |      193807 |     1855251 |      775566 |          23 |      438730 |     1893654
    miss rate                        |       1.00% |       0.01% |       0.68% |       3.89% |       0.15% |       0.71% |       0.18% |       0.56% |       0.05% |       1.54% |       0.03% |       0.71% |       0.01% |       0.00% |       0.18% |       0.53%
    mpki                             |        4.52 |        0.02 |        3.14 |       18.15 |        0.53 |        2.98 |        0.70 |        2.68 |        0.21 |        5.33 |        0.10 |        2.62 |        0.08 |        0.00 |        0.49 |        2.05
  L2 TLB                             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |    36196906 |       58812 |     2766502 |     7610820 |      629764 |     7894422 |     2883207 |     4990580 |      370637 |     1349092 |      193815 |     1855265 |      775609 |          62 |      438733 |     1893891
    num misses                       |     3192685 |       52533 |     2197229 |     2271588 |      195923 |       60149 |      459567 |       31693 |      194006 |     1140466 |        4990 |     1855243 |      221967 |          62 |      438403 |      164743
    miss rate                        |       8.82% |      89.32% |      79.42% |      29.85% |      31.11% |       0.76% |      15.94% |       0.64% |      52.34% |      84.54% |       2.57% |     100.00% |      28.62% |     100.00% |      99.92% |       8.70%
    mpki                             |        0.40 |        0.02 |        2.50 |        5.42 |        0.17 |        0.02 |        0.11 |        0.02 |        0.11 |        4.56 |        0.00 |        2.62 |        0.02 |        0.00 |        0.49 |        0.18
Cache Summary                        |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |   944062340 |   270755460 |   105008220 |    73448104 |   117891205 |   321788887 |   577298227 |   273121885 |   159928683 |    21135842 |   190092958 |    76652850 |   764772729 |   298726472 |    79882685 |   128163457
    num cache misses                 |      680697 |      378785 |       66780 |     1699937 |      126599 |     4850042 |    18118919 |    10336270 |      248153 |      453427 |      295177 |       60250 |      694862 |     6257304 |      622800 |     8995220
    miss rate                        |       0.07% |       0.14% |       0.06% |       2.31% |       0.11% |       1.51% |       3.14% |       3.78% |       0.16% |       2.15% |       0.16% |       0.08% |       0.09% |       2.09% |       0.78% |       7.02%
