                                     | Core 0      | Core 1      | Core 2      | Core 3     
  Instructions                       |  2856491768 |  1276090379 |   871593181 |   249999989
  Cycles                             |  3478754554 |  3478754795 |  3478754950 |  3478750708
  IPC                                |        0.82 |        0.37 |        0.25 |        0.07
  Time (ns)                          |  1159584851 |  1159584932 |  1159584983 |  1159583569
Branch predictor stats               |             |             |             |            
  num correct                        |   309426302 |   101173163 |   119796115 |    43244780
  num incorrect                      |    47153389 |     8269334 |    16463905 |    11689069
  misprediction rate                 |      13.22% |       7.56% |      12.08% |      21.28%
  mpki                               |       16.51 |        6.48 |       18.89 |       46.76
TLB Summary                          |             |             |             |            
  I-TLB                              |             |             |             |            
    num accesses                     |   336150987 |   107029918 |   152707318 |    23761816
    num misses                       |          10 |          42 |         105 |           3
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |            
    num accesses                     |  1283384061 |   351244131 |   406114361 |    88558906
    num misses                       |    13054676 |     1716095 |    15810165 |    21160391
    miss rate                        |       1.02% |       0.49% |       3.89% |      23.89%
    mpki                             |        4.57 |        1.34 |       18.14 |       84.64
  L2 TLB                             |             |             |             |            
    num accesses                     |    13054686 |     1716137 |    15810270 |    21160394
    num misses                       |     1162881 |      534359 |     4735959 |    10898292
    miss rate                        |       8.91% |      31.14% |      29.95% |      51.50%
    mpki                             |        0.41 |        0.42 |        5.43 |       43.59
Cache Summary                        |             |             |             |            
  Cache L1-I                         |             |             |             |            
    num cache accesses               |   336150987 |   107029918 |   152707318 |    23761816
    num cache misses                 |       64262 |      106250 |     1828420 |       55210
    miss rate                        |       0.02% |       0.10% |       1.20% |       0.23%
    mpki                             |        0.02 |        0.08 |        2.10 |        0.22
  Cache L1-D                         |             |             |             |            
    num cache accesses               |  1283384061 |   351244131 |   406114361 |    88558906
    num cache misses                 |    41095885 |    18721937 |    22558178 |    28772982
    miss rate                        |       3.20% |       5.33% |       5.55% |      32.49%
    mpki                             |       14.39 |       14.67 |       25.88 |      115.09
  Cache L2                           |             |             |             |            
    num cache accesses               |    41680551 |    18993237 |    29051950 |    32577063
    num cache misses                 |    16579161 |    15972337 |    18515680 |    20421876
    miss rate                        |      39.78% |      84.09% |      63.73% |      62.69%
    mpki                             |        5.80 |       12.52 |       21.24 |       81.69
  Cache L3                           |             |             |             |            
    num cache accesses               |    17259394 |    16154242 |    23201265 |    24243829
    num cache misses                 |    10828670 |    15607757 |    15759203 |    17793847
    miss rate                        |      62.74% |      96.62% |      67.92% |      73.40%
    mpki                             |        3.79 |       12.23 |       18.08 |       71.18
DRAM summary                         |             |             |             |            
  num dram accesses                  |    77805036 |           0 |           0 |           0
  average dram access latency (ns)   |      130.67 |         inf |         inf |         inf
  average dram queueing delay        |       20.66 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |      67.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |            
  num loads from dram                |           0 |           0 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0
