                                     | Core 0      | Core 1      | Core 2      | Core 3     
  Instructions                       |  2221231791 |  1396412459 |   834305696 |   249999989
  Cycles                             |  4023844257 |  4023844195 |  4023843906 |  4023840064
  IPC                                |        0.55 |        0.35 |        0.21 |        0.06
  Time (ns)                          |  1341281419 |  1341281398 |  1341281302 |  1341280021
Branch predictor stats               |             |             |             |            
  num correct                        |   241324824 |   110750743 |   114826637 |    43244780
  num incorrect                      |    36883673 |     9069573 |    15733498 |    11689069
  misprediction rate                 |      13.26% |       7.57% |      12.05% |      21.28%
  mpki                               |       16.61 |        6.49 |       18.86 |       46.76
TLB Summary                          |             |             |             |            
  I-TLB                              |             |             |             |            
    num accesses                     |   260957591 |   117016386 |   146207090 |    23761816
    num misses                       |          10 |          42 |         100 |           3
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |            
    num accesses                     |   992271635 |   384413713 |   388863889 |    88558906
    num misses                       |    10102560 |     1888019 |    15141614 |    21160727
    miss rate                        |       1.02% |       0.49% |       3.89% |      23.89%
    mpki                             |        4.55 |        1.35 |       18.15 |       84.64
  L2 TLB                             |             |             |             |            
    num accesses                     |    10102570 |     1888061 |    15141714 |    21160730
    num misses                       |      891050 |      588309 |     4549397 |    10898662
    miss rate                        |       8.82% |      31.16% |      30.05% |      51.50%
    mpki                             |        0.40 |        0.42 |        5.45 |       43.59
Cache Summary                        |             |             |             |            
  Cache L1-I                         |             |             |             |            
    num cache accesses               |   260957591 |   117016386 |   146207090 |    23761816
    num cache misses                 |      144432 |      168073 |     2368542 |      116731
    miss rate                        |       0.06% |       0.14% |       1.62% |       0.49%
    mpki                             |        0.07 |        0.12 |        2.84 |        0.47
  Cache L1-D                         |             |             |             |            
    num cache accesses               |   992271635 |   384413713 |   388863889 |    88558906
    num cache misses                 |    32537151 |    20602768 |    22035324 |    28866258
    miss rate                        |       3.28% |       5.36% |       5.67% |      32.60%
    mpki                             |       14.65 |       14.75 |       26.41 |      115.47
  Cache L2                           |             |             |             |            
    num cache accesses               |    33355260 |    21020793 |    30033100 |    33077573
    num cache misses                 |    19614079 |    18308243 |    20051908 |    23151816
    miss rate                        |      58.80% |      87.10% |      66.77% |      69.99%
    mpki                             |        8.83 |       13.11 |       24.03 |       92.61
  Cache L3                           |             |             |             |            
    num cache accesses               |    20349497 |    18558648 |    25697846 |    27295758
    num cache misses                 |    17583160 |    18169975 |    18756672 |    22117259
    miss rate                        |      86.41% |      97.91% |      72.99% |      81.03%
    mpki                             |        7.92 |       13.01 |       22.48 |       88.47
DRAM summary                         |             |             |             |            
  num dram accesses                  |    96099036 |           0 |           0 |           0
  average dram access latency (ns)   |      134.32 |         inf |         inf |         inf
  average dram queueing delay        |       24.31 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |      71.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |            
  num loads from dram                |           0 |           0 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0
