                                     | Core 0      | Core 1      | Core 2      | Core 3     
  Instructions                       |  2905053027 |  1275875892 |   866246599 |   249999989
  Cycles                             |  3476009529 |  3476009553 |  3476009566 |  3476005067
  IPC                                |        0.84 |        0.37 |        0.25 |        0.07
  Time (ns)                          |  1158669843 |  1158669851 |  1158669856 |  1158668356
Branch predictor stats               |             |             |             |            
  num correct                        |   315154603 |   101164110 |   119090201 |    43244780
  num incorrect                      |    48124528 |     8267942 |    16363159 |    11689069
  misprediction rate                 |      13.25% |       7.56% |      12.08% |      21.28%
  mpki                               |       16.57 |        6.48 |       18.89 |       46.76
TLB Summary                          |             |             |             |            
  I-TLB                              |             |             |             |            
    num accesses                     |   342059931 |   107009723 |   151783211 |    23761816
    num misses                       |          10 |          42 |         105 |           3
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |            
    num accesses                     |  1304322659 |   351189814 |   403662661 |    88558906
    num misses                       |    13244429 |     1715728 |    15718254 |    21160170
    miss rate                        |       1.02% |       0.49% |       3.89% |      23.89%
    mpki                             |        4.56 |        1.34 |       18.15 |       84.64
  L2 TLB                             |             |             |             |            
    num accesses                     |    13244439 |     1715770 |    15718359 |    21160173
    num misses                       |     1178979 |      534326 |     4711383 |    10898363
    miss rate                        |       8.90% |      31.14% |      29.97% |      51.50%
    mpki                             |        0.41 |        0.42 |        5.44 |       43.59
Cache Summary                        |             |             |             |            
  Cache L1-I                         |             |             |             |            
    num cache accesses               |   342059931 |   107009723 |   151783211 |    23761816
    num cache misses                 |      254402 |      204479 |     3314847 |      190321
    miss rate                        |       0.07% |       0.19% |       2.18% |       0.80%
    mpki                             |        0.09 |        0.16 |        3.83 |        0.76
  Cache L1-D                         |             |             |             |            
    num cache accesses               |  1304322659 |   351189814 |   403662661 |    88558906
    num cache misses                 |    42033231 |    18810982 |    23053998 |    28761660
    miss rate                        |       3.22% |       5.36% |       5.71% |      32.48%
    mpki                             |       14.47 |       14.74 |       26.61 |      115.05
  Cache L2                           |             |             |             |            
    num cache accesses               |    42819077 |    19180693 |    31009371 |    32662412
    num cache misses                 |    29581675 |    17633820 |    22649482 |    24346099
    miss rate                        |      69.09% |      91.94% |      73.04% |      74.54%
    mpki                             |       10.18 |       13.82 |       26.15 |       97.38
  Cache L3                           |             |             |             |            
    num cache accesses               |    30142097 |    17799454 |    27297415 |    28082313
    num cache misses                 |    10771167 |    15488858 |    15685475 |    17679047
    miss rate                        |      35.73% |      87.02% |      57.46% |      62.95%
    mpki                             |        3.71 |       12.14 |       18.11 |       70.72
DRAM summary                         |             |             |             |            
  num dram accesses                  |    77627385 |           0 |           0 |           0
  average dram access latency (ns)   |      131.70 |         inf |         inf |         inf
  average dram queueing delay        |       21.69 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |      67.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |            
  num loads from dram                |           0 |           0 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0
