                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |  658634870 |  249999898 |  403502110 |  473880311
  Cycles                             |  764983477 |  764981020 |  764983738 |  764984176
  IPC                                |       0.86 |       0.33 |       0.53 |       0.62
  Time (ns)                          |  254994492 |  254993673 |  254994579 |  254994725
Branch predictor stats               |            |            |            |           
  num correct                        |     861531 |    4856955 |   24488892 |   70714766
  num incorrect                      |      14602 |    6669357 |     982136 |   16195981
  misprediction rate                 |      1.67% |     57.86% |      3.86% |     18.64%
  mpki                               |       0.02 |      26.68 |       2.43 |      34.18
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |   75433809 |   27532058 |   38516803 |   66787426
    num misses                       |          6 |         14 |         22 |        167
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |  492726346 |   93614435 |  135917988 |  184925662
    num misses                       |   17904420 |     661938 |    1079574 |     993090
    miss rate                        |      3.63% |      0.71% |      0.79% |      0.54%
    mpki                             |      27.18 |       2.65 |       2.68 |       2.10
  L2 TLB                             |            |            |            |           
    num accesses                     |   17904426 |     661952 |    1079596 |     993257
    num misses                       |   12851207 |     661946 |      93913 |      96530
    miss rate                        |     71.78% |    100.00% |      8.70% |      9.72%
    mpki                             |      19.51 |       2.65 |       0.23 |       0.20
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |   75433809 |   27532058 |   38516803 |   66787426
    num cache misses                 |     319499 |      18869 |     258538 |    3973223
    miss rate                        |      0.42% |      0.07% |      0.67% |      5.95%
    mpki                             |       0.49 |       0.08 |       0.64 |       8.38
  Cache L1-D                         |            |            |            |           
    num cache accesses               |  492726346 |   93614435 |  135917988 |  184925662
    num cache misses                 |    5432717 |    7294809 |    7629608 |    3198400
    miss rate                        |      1.10% |      7.79% |      5.61% |      1.73%
    mpki                             |       8.25 |      29.18 |      18.91 |       6.75
  Cache L2                           |            |            |            |           
    num cache accesses               |    5752471 |    8258554 |    8437657 |    7368275
    num cache misses                 |    4039580 |    7313678 |    3670836 |    3106938
    miss rate                        |     70.22% |     88.56% |     43.51% |     42.17%
    mpki                             |       6.13 |      29.25 |       9.10 |       6.56
  Cache L3                           |            |            |            |           
    num cache accesses               |    4039912 |    8258554 |    4222526 |    3303910
    num cache misses                 |    3484268 |    7293210 |    1996160 |    1159465
    miss rate                        |     86.25% |     88.31% |     47.27% |     35.09%
    mpki                             |       5.29 |      29.17 |       4.95 |       2.45
DRAM summary                         |            |            |            |           
  num dram accesses                  |   19243825 |          0 |          0 |          0
  average dram access latency (ns)   |     156.31 |        inf |        inf |        inf
  average dram queueing delay        |      46.30 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     75.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
