                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |  657346962 |  249999898 |  399347697 |  473359375
  Cycles                             |  762476630 |  762474724 |  762476805 |  762476651
  IPC                                |       0.86 |       0.33 |       0.52 |       0.62
  Time (ns)                          |  254158877 |  254158242 |  254158935 |  254158884
Branch predictor stats               |            |            |            |           
  num correct                        |     860672 |    4856955 |   24241799 |   70621530
  num incorrect                      |      14586 |    6669357 |     971829 |   16174775
  misprediction rate                 |      1.67% |     57.86% |      3.85% |     18.64%
  mpki                               |       0.02 |      26.68 |       2.43 |      34.17
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |   75283918 |   27532058 |   38122866 |   66729678
    num misses                       |          6 |         14 |         22 |        167
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |  491770994 |   93614435 |  134331003 |  184674090
    num misses                       |   17884488 |     661938 |    1070103 |     989136
    miss rate                        |      3.64% |      0.71% |      0.80% |      0.54%
    mpki                             |      27.21 |       2.65 |       2.68 |       2.09
  L2 TLB                             |            |            |            |           
    num accesses                     |   17884494 |     661952 |    1070125 |     989303
    num misses                       |   12842269 |     661946 |      92968 |      93901
    miss rate                        |     71.81% |    100.00% |      8.69% |      9.49%
    mpki                             |      19.54 |       2.65 |       0.23 |       0.20
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |   75283918 |   27532058 |   38122866 |   66729678
    num cache misses                 |     320481 |      18834 |     256299 |    3982282
    miss rate                        |      0.43% |      0.07% |      0.67% |      5.97%
    mpki                             |       0.49 |       0.08 |       0.64 |       8.41
  Cache L1-D                         |            |            |            |           
    num cache accesses               |  491770994 |   93614435 |  134331003 |  184674090
    num cache misses                 |    5424680 |    7294773 |    7557567 |    3143181
    miss rate                        |      1.10% |      7.79% |      5.63% |      1.70%
    mpki                             |       8.25 |      29.18 |      18.92 |       6.64
  Cache L2                           |            |            |            |           
    num cache accesses               |    5745877 |    8258470 |    8358436 |    7307174
    num cache misses                 |    4036912 |    7313607 |    3643055 |    3070920
    miss rate                        |     70.26% |     88.56% |     43.59% |     42.03%
    mpki                             |       6.14 |      29.25 |       9.12 |       6.49
  Cache L3                           |            |            |            |           
    num cache accesses               |    4037707 |    8258470 |    4191030 |    3252966
    num cache misses                 |    3476988 |    7292824 |    2003876 |    1144830
    miss rate                        |     86.11% |     88.31% |     47.81% |     35.19%
    mpki                             |       5.29 |      29.17 |       5.02 |       2.42
DRAM summary                         |            |            |            |           
  num dram accesses                  |   19218985 |          0 |          0 |          0
  average dram access latency (ns)   |     154.70 |        inf |        inf |        inf
  average dram queueing delay        |      44.69 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     75.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
