                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |  624125946 |  249999898 |  387626518 |  511161472
  Cycles                             |  780441125 |  780438321 |  780441252 |  780441002
  IPC                                |       0.80 |       0.32 |       0.50 |       0.65
  Time (ns)                          |  260147042 |  260146107 |  260147084 |  260147001
Branch predictor stats               |            |            |            |           
  num correct                        |     811163 |    4856955 |   23611656 |   77929125
  num incorrect                      |      13748 |    6669357 |     872328 |   16657702
  misprediction rate                 |      1.67% |     57.86% |      3.56% |     17.61%
  mpki                               |       0.02 |      26.68 |       2.25 |      32.59
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |   71496603 |   27532058 |   36998956 |   70459302
    num misses                       |          6 |         14 |         22 |        178
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |  466858164 |   93614435 |  130096910 |  198301374
    num misses                       |   16900536 |     661938 |    1064353 |    1055073
    miss rate                        |      3.62% |      0.71% |      0.82% |      0.53%
    mpki                             |      27.08 |       2.65 |       2.75 |       2.06
  L2 TLB                             |            |            |            |           
    num accesses                     |   16900542 |     661952 |    1064375 |    1055251
    num misses                       |   12132598 |     661946 |      91690 |     102495
    miss rate                        |     71.79% |    100.00% |      8.61% |      9.71%
    mpki                             |      19.44 |       2.65 |       0.24 |       0.20
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |   71496603 |   27532058 |   36998956 |   70459302
    num cache misses                 |     330257 |      19331 |     263189 |    4106382
    miss rate                        |      0.46% |      0.07% |      0.71% |      5.83%
    mpki                             |       0.53 |       0.08 |       0.68 |       8.03
  Cache L1-D                         |            |            |            |           
    num cache accesses               |  466858164 |   93614435 |  130096910 |  198301374
    num cache misses                 |    5141078 |    7294976 |    7505675 |    4715656
    miss rate                        |      1.10% |      7.79% |      5.77% |      2.38%
    mpki                             |       8.24 |      29.18 |      19.36 |       9.23
  Cache L2                           |            |            |            |           
    num cache accesses               |    5476762 |    8259258 |    8333135 |    9018542
    num cache misses                 |    3878130 |    7314307 |    3685842 |    4625764
    miss rate                        |     70.81% |     88.56% |     44.23% |     51.29%
    mpki                             |       6.21 |      29.26 |       9.51 |       9.05
  Cache L3                           |            |            |            |           
    num cache accesses               |    3883637 |    8259258 |    4256488 |    4822656
    num cache misses                 |    3328629 |    7291508 |    2124636 |    1164282
    miss rate                        |     85.71% |     88.28% |     49.92% |     24.14%
    mpki                             |       5.33 |      29.17 |       5.48 |       2.28
DRAM summary                         |            |            |            |           
  num dram accesses                  |   19215945 |          0 |          0 |          0
  average dram access latency (ns)   |     161.68 |        inf |        inf |        inf
  average dram queueing delay        |      51.67 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     73.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
