                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |  249999939 |  292544795 |  373932630 |  263429676
  Cycles                             |  261236129 |  261238417 |  261237999 |  261238073
  IPC                                |       0.96 |       1.12 |       1.43 |       1.01
  Time (ns)                          |   87078710 |   87079473 |   87079333 |   87079358
Branch predictor stats               |            |            |            |           
  num correct                        |     325726 |   43787059 |   30126941 |    5571152
  num incorrect                      |       5522 |    5041478 |    5036473 |     839721
  misprediction rate                 |      1.67% |     10.32% |     14.32% |     13.10%
  mpki                               |       0.02 |      17.23 |      13.47 |       3.19
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |   28636353 |   46996653 |   54818229 |   25337590
    num misses                       |          6 |       2488 |         65 |         62
    miss rate                        |      0.00% |      0.01% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.01 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |  187012795 |  119323495 |  179270062 |  133585784
    num misses                       |    6743704 |     775474 |    1008260 |     304625
    miss rate                        |      3.61% |      0.65% |      0.56% |      0.23%
    mpki                             |      26.97 |       2.65 |       2.70 |       1.16
  L2 TLB                             |            |            |            |           
    num accesses                     |    6743710 |     777962 |    1008325 |     304687
    num misses                       |    4819883 |     114888 |       6231 |       4413
    miss rate                        |     71.47% |     14.77% |      0.62% |      1.45%
    mpki                             |      19.28 |       0.39 |       0.02 |       0.02
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |   28636353 |   46996653 |   54818229 |   25337590
    num cache misses                 |     127284 |    1064569 |    1826669 |      49192
    miss rate                        |      0.44% |      2.27% |      3.33% |      0.19%
    mpki                             |       0.51 |       3.64 |       4.89 |       0.19
  Cache L1-D                         |            |            |            |           
    num cache accesses               |  187012795 |  119323495 |  179270062 |  133585784
    num cache misses                 |    2059354 |    1301070 |    6085459 |    2155859
    miss rate                        |      1.10% |      1.09% |      3.39% |      1.61%
    mpki                             |       8.24 |       4.45 |      16.27 |       8.18
  Cache L2                           |            |            |            |           
    num cache accesses               |    2188194 |    2406635 |    7914144 |    2241878
    num cache misses                 |    1534675 |    1287800 |    1220437 |    1118829
    miss rate                        |     70.13% |     53.51% |     15.42% |     49.91%
    mpki                             |       6.14 |       4.40 |       3.26 |       4.25
  Cache L3                           |            |            |            |           
    num cache accesses               |    1536235 |    1329000 |    1222886 |    1155683
    num cache misses                 |    1350735 |     359541 |      47196 |     220600
    miss rate                        |     87.93% |     27.05% |      3.86% |     19.09%
    mpki                             |       5.40 |       1.23 |       0.13 |       0.84
DRAM summary                         |            |            |            |           
  num dram accesses                  |    2501919 |          0 |          0 |          0
  average dram access latency (ns)   |     122.81 |        inf |        inf |        inf
  average dram queueing delay        |      12.80 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     28.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
