                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |  249999939 |  284485706 |  386257346 |  272793249
  Cycles                             |  267617829 |  267620821 |  267620650 |  267620537
  IPC                                |       0.93 |       1.06 |       1.44 |       1.02
  Time (ns)                          |   89205943 |   89206940 |   89206883 |   89206846
Branch predictor stats               |            |            |            |           
  num correct                        |     325726 |   42652343 |   31129996 |    6196176
  num incorrect                      |       5522 |    4895560 |    5202452 |     926341
  misprediction rate                 |      1.67% |     10.30% |     14.32% |     13.01%
  mpki                               |       0.02 |      17.21 |      13.47 |       3.40
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |   28636353 |   45699589 |   56640547 |   26401662
    num misses                       |          6 |       2084 |         65 |         62
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.01 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |  187012795 |  115596453 |  185194424 |  138132870
    num misses                       |    6743791 |     712161 |    1044310 |     319176
    miss rate                        |      3.61% |      0.62% |      0.56% |      0.23%
    mpki                             |      26.98 |       2.50 |       2.70 |       1.17
  L2 TLB                             |            |            |            |           
    num accesses                     |    6743797 |     714245 |    1044375 |     319238
    num misses                       |    4822963 |     104807 |       6349 |       4619
    miss rate                        |     71.52% |     14.67% |      0.61% |      1.45%
    mpki                             |      19.29 |       0.37 |       0.02 |       0.02
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |   28636353 |   45699589 |   56640547 |   26401662
    num cache misses                 |      89517 |     886396 |    1690201 |      13833
    miss rate                        |      0.31% |      1.94% |      2.98% |      0.05%
    mpki                             |       0.36 |       3.12 |       4.38 |       0.05
  Cache L1-D                         |            |            |            |           
    num cache accesses               |  187012795 |  115596453 |  185194424 |  138132870
    num cache misses                 |    2074998 |    1157605 |    6131269 |    2282311
    miss rate                        |      1.11% |      1.00% |      3.31% |      1.65%
    mpki                             |       8.30 |       4.07 |      15.87 |       8.37
  Cache L2                           |            |            |            |           
    num cache accesses               |    2171038 |    2090225 |    7823587 |    2334314
    num cache misses                 |    1507966 |     703042 |      62692 |     492926
    miss rate                        |     69.46% |     33.63% |      0.80% |     21.12%
    mpki                             |       6.03 |       2.47 |       0.16 |       1.81
  Cache L3                           |            |            |            |           
    num cache accesses               |    1514489 |     749586 |      65135 |     531290
    num cache misses                 |    1365242 |     401581 |      47384 |     211648
    miss rate                        |     90.15% |     53.57% |     72.75% |     39.84%
    mpki                             |       5.46 |       1.41 |       0.12 |       0.78
DRAM summary                         |            |            |            |           
  num dram accesses                  |    2553423 |          0 |          0 |          0
  average dram access latency (ns)   |     125.56 |        inf |        inf |        inf
  average dram queueing delay        |      15.55 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     28.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
