                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |  255862681 |  283422279 |  352210978 |  249999907
  Cycles                             |  263645700 |  263645751 |  263645591 |  263644035
  IPC                                |       0.97 |       1.08 |       1.34 |       0.95
  Time (ns)                          |   87881900 |   87881917 |   87881864 |   87881345
Branch predictor stats               |            |            |            |           
  num correct                        |     338164 |   42505513 |   28361597 |    4611008
  num incorrect                      |       5732 |    4874680 |    4752172 |     704186
  misprediction rate                 |      1.67% |     10.29% |     14.35% |     13.25%
  mpki                               |       0.02 |      17.20 |      13.49 |       2.82
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |   29294028 |   45525495 |   51619804 |   23785065
    num misses                       |          6 |       2049 |         65 |         62
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.01 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |  191446116 |  115095470 |  168871295 |  127043714
    num misses                       |    6996759 |     703458 |     946412 |     281086
    miss rate                        |      3.65% |      0.61% |      0.56% |      0.22%
    mpki                             |      27.35 |       2.48 |       2.69 |       1.12
  L2 TLB                             |            |            |            |           
    num accesses                     |    6996765 |     705507 |     946477 |     281148
    num misses                       |    5021944 |     102749 |       6034 |       4005
    miss rate                        |     71.78% |     14.56% |      0.64% |      1.42%
    mpki                             |      19.63 |       0.36 |       0.02 |       0.02
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |   29294028 |   45525495 |   51619804 |   23785065
    num cache misses                 |      29064 |     850964 |    1520735 |       5665
    miss rate                        |      0.10% |      1.87% |      2.95% |      0.02%
    mpki                             |       0.11 |       3.00 |       4.32 |       0.02
  Cache L1-D                         |            |            |            |           
    num cache accesses               |  191446116 |  115095470 |  168871295 |  127043714
    num cache misses                 |    2107006 |    1119778 |    5647930 |    1943768
    miss rate                        |      1.10% |      0.97% |      3.34% |      1.53%
    mpki                             |       8.23 |       3.95 |      16.04 |       7.78
  Cache L2                           |            |            |            |           
    num cache accesses               |    2136310 |    2013295 |    7173941 |    2007459
    num cache misses                 |    1430466 |     470433 |     118533 |     355237
    miss rate                        |     66.96% |     23.37% |      1.65% |     17.70%
    mpki                             |       5.59 |       1.66 |       0.34 |       1.42
  Cache L3                           |            |            |            |           
    num cache accesses               |    1430744 |     513569 |     124564 |     414094
    num cache misses                 |    1314673 |     398623 |     117214 |     276110
    miss rate                        |     91.89% |     77.62% |     94.10% |     66.68%
    mpki                             |       5.14 |       1.41 |       0.33 |       1.10
DRAM summary                         |            |            |            |           
  num dram accesses                  |    2675618 |          0 |          0 |          0
  average dram access latency (ns)   |     121.72 |        inf |        inf |        inf
  average dram queueing delay        |      11.71 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     30.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
