                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |  556430273 |  941068507 |  249999909 |  610182888
  Cycles                             |  581300617 |  581300549 |  581298463 |  581300626
  IPC                                |       0.96 |       1.62 |       0.43 |       1.05
  Time (ns)                          |  193766873 |  193766850 |  193766155 |  193766876
Branch predictor stats               |            |            |            |           
  num correct                        |   28780879 |  122270653 |    2271023 |   91955967
  num incorrect                      |   21580420 |   12861681 |      15217 |   10317880
  misprediction rate                 |     42.85% |      9.52% |      0.67% |     10.09%
  mpki                               |      38.78 |      13.67 |       0.06 |      16.91
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |   44544330 |  142964128 |   22095385 |   97710769
    num misses                       |         52 |        676 |          3 |       3954
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.01
  D-TLB                              |            |            |            |           
    num accesses                     |  162869843 |  373218176 |   68115827 |  246188586
    num misses                       |       9158 |     114686 |     121838 |    1400987
    miss rate                        |      0.01% |      0.03% |      0.18% |      0.57%
    mpki                             |       0.02 |       0.12 |       0.49 |       2.30
  L2 TLB                             |            |            |            |           
    num accesses                     |       9210 |     115362 |     121841 |    1404941
    num misses                       |       8269 |       3551 |     121749 |     204566
    miss rate                        |     89.78% |      3.08% |     99.92% |     14.56%
    mpki                             |       0.01 |       0.00 |       0.49 |       0.34
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |   44544330 |  142964128 |   22095385 |   97710769
    num cache misses                 |      17373 |    2980497 |      71002 |    1729137
    miss rate                        |      0.04% |      2.08% |      0.32% |      1.77%
    mpki                             |       0.03 |       3.17 |       0.28 |       2.83
  Cache L1-D                         |            |            |            |           
    num cache accesses               |  162869843 |  373218176 |   68115827 |  246188586
    num cache misses                 |     577639 |    4160427 |   12858718 |    2255637
    miss rate                        |      0.35% |      1.11% |     18.88% |      0.92%
    mpki                             |       1.04 |       4.42 |      51.43 |       3.70
  Cache L2                           |            |            |            |           
    num cache accesses               |     624651 |    7176297 |   12929724 |    4069189
    num cache misses                 |     567033 |     412101 |    7869089 |    1275226
    miss rate                        |     90.78% |      5.74% |     60.86% |     31.34%
    mpki                             |       1.02 |       0.44 |      31.48 |       2.09
  Cache L3                           |            |            |            |           
    num cache accesses               |     597411 |     447718 |    7869093 |    1360297
    num cache misses                 |     565599 |     317075 |    7730381 |     752172
    miss rate                        |     94.68% |     70.82% |     98.24% |     55.29%
    mpki                             |       1.02 |       0.34 |      30.92 |       1.23
DRAM summary                         |            |            |            |           
  num dram accesses                  |   15804655 |          0 |          0 |          0
  average dram access latency (ns)   |     141.61 |        inf |        inf |        inf
  average dram queueing delay        |      31.60 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     81.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
