                                     | Core 0     | Core 1      | Core 2     | Core 3    
  Instructions                       |  655807183 |  1201513824 |  249999889 |  687783859
  Cycles                             |  709454960 |   709454942 |  709451427 |  709455209
  IPC                                |       0.92 |        1.69 |       0.35 |       0.97
  Time (ns)                          |  236484987 |   236484981 |  236483809 |  236485070
Branch predictor stats               |            |             |            |           
  num correct                        |   31277174 |   156908125 |    2271023 |  103910072
  num incorrect                      |   26437716 |    16413341 |      15217 |   11619091
  misprediction rate                 |     45.81% |       9.47% |      0.67% |     10.06%
  mpki                               |      40.31 |       13.66 |       0.06 |      16.89
TLB Summary                          |            |             |            |           
  I-TLB                              |            |             |            |           
    num accesses                     |   50771381 |   182065175 |   22095385 |  109947326
    num misses                       |         52 |         835 |          3 |       4003
    miss rate                        |      0.00% |       0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |        0.00 |       0.00 |       0.01
  D-TLB                              |            |             |            |           
    num accesses                     |  189328379 |   474877841 |   68115829 |  275673207
    num misses                       |       9365 |      144732 |     121838 |    1450952
    miss rate                        |      0.00% |       0.03% |      0.18% |      0.53%
    mpki                             |       0.01 |        0.12 |       0.49 |       2.11
  L2 TLB                             |            |             |            |           
    num accesses                     |       9417 |      145567 |     121841 |    1454955
    num misses                       |       8312 |        4426 |     121749 |     210810
    miss rate                        |     88.27% |       3.04% |     99.92% |     14.49%
    mpki                             |       0.01 |        0.00 |       0.49 |       0.31
Cache Summary                        |            |             |            |           
  Cache L1-I                         |            |             |            |           
    num cache accesses               |   50771381 |   182065175 |   22095385 |  109947326
    num cache misses                 |      55245 |     3781804 |     108398 |    1803925
    miss rate                        |      0.11% |       2.08% |      0.49% |      1.64%
    mpki                             |       0.08 |        3.15 |       0.43 |       2.62
  Cache L1-D                         |            |             |            |           
    num cache accesses               |  189328379 |   474877841 |   68115829 |  275673207
    num cache misses                 |     631711 |     5523615 |   12871970 |    2379639
    miss rate                        |      0.33% |       1.16% |     18.90% |      0.86%
    mpki                             |       0.96 |        4.60 |      51.49 |       3.46
  Cache L2                           |            |             |            |           
    num cache accesses               |     740021 |     9341042 |   12982130 |    4305688
    num cache misses                 |     670356 |      328780 |    9175975 |    1314008
    miss rate                        |     90.59% |       3.52% |     70.68% |     30.52%
    mpki                             |       1.02 |        0.27 |      36.70 |       1.91
  Cache L3                           |            |             |            |           
    num cache accesses               |     723657 |      365770 |    9177737 |    1437187
    num cache misses                 |     669565 |      275126 |    9091461 |     998869
    miss rate                        |     92.53% |      75.22% |     99.06% |     69.50%
    mpki                             |       1.02 |        0.23 |      36.37 |       1.45
DRAM summary                         |            |             |            |           
  num dram accesses                  |   18835326 |           0 |          0 |          0
  average dram access latency (ns)   |     138.67 |         inf |        inf |        inf
  average dram queueing delay        |      28.66 |        0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     79.00% |       0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |             |            |           
  num loads from dram                |          0 |           0 |          0 |          0
  num loads from dram cache          |          0 |           0 |          0 |          0
  num loads from remote cache        |          0 |           0 |          0 |          0
