                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |  280423277 |  296155682 |  557713406 |  249999939
  Cycles                             |  293981400 |  293981451 |  293981460 |  293979858
  IPC                                |       0.95 |       1.01 |       1.90 |       0.85
  Time (ns)                          |   97993800 |   97993817 |   97993820 |   97993286
Branch predictor stats               |            |            |            |           
  num correct                        |   14453271 |   38202450 |  102927569 |     325726
  num incorrect                      |   10891134 |    9037899 |    7022444 |       5522
  misprediction rate                 |     42.97% |     19.13% |      6.39% |      1.67%
  mpki                               |      38.84 |      30.52 |      12.59 |       0.02
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |   22417416 |   41322868 |   91453034 |   28636353
    num misses                       |         52 |        112 |         39 |          6
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |   82025165 |  115192566 |  181765392 |  187012795
    num misses                       |       4648 |     194136 |         23 |    6743570
    miss rate                        |      0.01% |      0.17% |      0.00% |      3.61%
    mpki                             |       0.02 |       0.66 |       0.00 |      26.97
  L2 TLB                             |            |            |            |           
    num accesses                     |       4700 |     194248 |         62 |    6743576
    num misses                       |       4244 |      33109 |         62 |    4826555
    miss rate                        |     90.30% |     17.04% |    100.00% |     71.57%
    mpki                             |       0.02 |       0.11 |       0.00 |      19.31
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |   22417416 |   41322868 |   91453034 |   28636353
    num cache misses                 |       4456 |    1215856 |     862029 |      53197
    miss rate                        |      0.02% |      2.94% |      0.94% |      0.19%
    mpki                             |       0.02 |       4.11 |       1.55 |       0.21
  Cache L1-D                         |            |            |            |           
    num cache accesses               |   82025165 |  115192566 |  181765392 |  187012795
    num cache misses                 |     279603 |    1327361 |       6557 |    2047675
    miss rate                        |      0.34% |      1.15% |      0.00% |      1.09%
    mpki                             |       1.00 |       4.48 |       0.01 |       8.19
  Cache L2                           |            |            |            |           
    num cache accesses               |     291645 |    2603722 |     869465 |    2100933
    num cache misses                 |     269640 |     648875 |      18798 |    1416963
    miss rate                        |     92.45% |     24.92% |      2.16% |     67.44%
    mpki                             |       0.96 |       2.19 |       0.03 |       5.67
  Cache L3                           |            |            |            |           
    num cache accesses               |     277348 |     710218 |      19677 |    1417024
    num cache misses                 |     268882 |     138622 |      18762 |    1239353
    miss rate                        |     96.95% |     19.52% |     95.35% |     87.46%
    mpki                             |       0.96 |       0.47 |       0.03 |       4.96
DRAM summary                         |            |            |            |           
  num dram accesses                  |    2340502 |          0 |          0 |          0
  average dram access latency (ns)   |     193.53 |        inf |        inf |        inf
  average dram queueing delay        |      73.51 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     47.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
